<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130902,100000,132.2000000,133.0500000,130.0500000,131.9200000,3585550
20130902,110000,131.9300000,132.8700000,131.8100000,132.6200000,3807580
20130902,120000,132.6000000,132.7800000,132.3900000,132.4100000,1168850
20130902,130000,132.4000000,132.4400000,132.1100000,132.2000000,838160
20130902,140000,132.2000000,132.4000000,132.0900000,132.2500000,728360
20130902,150000,132.2500000,132.6500000,132.2500000,132.3100000,823710
20130902,160000,132.2800000,132.3300000,132.1700000,132.3200000,1318500
20130902,170000,132.3300000,132.3300000,131.6000000,131.6100000,1755220
20130902,180000,131.6000000,131.7800000,131.2500000,131.4500000,1808230
20130903,100000,131.9700000,132.8300000,131.6100000,132.6100000,5316920
20130903,110000,132.6100000,132.9900000,132.3100000,132.9900000,3501620
20130903,120000,132.9900000,133.0800000,132.1800000,132.3300000,4768800
20130903,130000,132.3200000,132.9100000,132.2500000,132.3900000,3421180
20130903,140000,132.4100000,132.5000000,132.3400000,132.4500000,999380
20130903,150000,132.4400000,132.5000000,131.5300000,131.6600000,3202370
20130903,160000,131.6200000,132.1400000,131.5000000,131.9100000,1501570
20130903,170000,131.9400000,132.1100000,131.0100000,131.9800000,5797360
20130903,180000,131.9700000,132.0000000,131.4200000,131.5000000,2280600
20130904,100000,131.1200000,131.6700000,130.8000000,130.9400000,2789620
20130904,110000,130.9400000,131.0700000,130.3500000,130.5700000,4543680
20130904,120000,130.5800000,130.9200000,130.4100000,130.6700000,1696210
20130904,130000,130.6700000,130.9700000,130.5600000,130.8700000,1971990
20130904,140000,130.8400000,131.0800000,130.7000000,130.9200000,2338830
20130904,150000,130.9500000,131.5000000,130.8800000,131.4800000,1932180
20130904,160000,131.4700000,131.8700000,131.2800000,131.6500000,2768070
20130904,170000,131.6700000,131.8200000,131.6000000,131.6600000,980740
20130904,180000,131.6600000,132.2400000,131.6600000,132.0100000,2424090
20130905,100000,132.4000000,132.5700000,132.1100000,132.3000000,1721570
20130905,110000,132.3000000,133.4600000,132.1700000,133.1300000,6288360
20130905,120000,133.1300000,133.4900000,132.8800000,133.3000000,3776640
20130905,130000,133.2900000,134.4000000,133.1800000,134.2200000,8575680
20130905,140000,134.2000000,134.4300000,134.0500000,134.2800000,2736920
20130905,150000,134.2400000,134.7000000,134.2300000,134.4900000,4022520
20130905,160000,134.5200000,136.6100000,134.4600000,136.1900000,13417910
20130905,170000,136.1900000,139.2600000,136.0500000,139.2000000,16359660
20130905,180000,139.2000000,140.0700000,139.0800000,140.0000000,10623630
20130906,100000,140.0100000,141.2000000,139.2500000,139.4100000,14057270
20130906,110000,139.4200000,142.4400000,138.8100000,142.0400000,22912480
20130906,120000,142.0200000,142.2800000,140.8500000,141.0700000,7074010
20130906,130000,141.0300000,141.4500000,140.5000000,141.0600000,5791990
20130906,140000,141.0600000,141.9800000,140.9100000,141.8400000,4892550
20130906,150000,141.8200000,142.4300000,141.7500000,142.3000000,6105470
20130906,160000,142.3000000,143.9800000,142.1600000,143.8800000,13835550
20130906,170000,143.8500000,143.9400000,141.1200000,141.7900000,12179290
20130906,180000,141.8200000,141.9800000,140.5200000,141.9700000,10219160
20130909,100000,142.5200000,144.1500000,142.5200000,143.2200000,10275740
20130909,110000,143.2200000,145.0000000,142.8400000,144.7700000,13835650
20130909,120000,144.7700000,145.9500000,144.7300000,145.7700000,10404260
20130909,130000,145.7900000,145.7900000,145.0200000,145.1000000,3888770
20130909,140000,145.1100000,147.1500000,145.1100000,146.3700000,12598650
20130909,150000,146.3300000,147.0500000,146.2100000,146.6800000,9911120
20130909,160000,146.6700000,147.0000000,146.5000000,146.7500000,9292430
20130909,170000,146.7500000,147.3400000,146.3500000,147.2000000,10685580
20130909,180000,147.1600000,147.4700000,146.6400000,147.4000000,7510590
20130910,100000,148.4000000,148.7000000,146.9000000,147.3000000,17075850
20130910,110000,147.3100000,147.6500000,145.6000000,145.9800000,12969350
20130910,120000,145.9800000,148.1700000,145.9800000,147.8400000,10533310
20130910,130000,147.7900000,148.4000000,147.6100000,147.9900000,5704370
20130910,140000,147.9900000,148.0200000,146.7700000,147.3000000,5493850
20130910,150000,147.2900000,147.9800000,146.4000000,146.9000000,8911200
20130910,160000,146.8800000,147.1000000,146.0500000,146.1600000,6683680
20130910,170000,146.1500000,146.4700000,145.7200000,146.0000000,6366750
20130910,180000,146.0000000,146.4000000,145.7000000,146.3700000,5385970
20130911,100000,146.4600000,146.8000000,145.6000000,146.4700000,4854430
20130911,110000,146.4700000,147.9600000,146.3000000,147.1700000,11045350
20130911,120000,147.1500000,147.3600000,146.4100000,146.7300000,3939620
20130911,130000,146.7600000,147.6100000,146.5500000,147.0600000,5998760
20130911,140000,147.0600000,147.4000000,146.8200000,146.9100000,2408820
20130911,150000,146.9000000,147.3000000,146.5500000,146.8000000,2039320
20130911,160000,146.7900000,147.0000000,146.2500000,146.3600000,5129860
20130911,170000,146.4000000,146.8800000,146.0500000,146.5000000,4037240
20130911,180000,146.5400000,147.0400000,146.3600000,146.5000000,4752800
20130912,100000,147.0200000,147.3400000,146.5200000,146.7100000,3722790
20130912,110000,146.7100000,147.0900000,145.9500000,146.1400000,4330100
20130912,120000,146.1400000,146.1900000,144.6600000,144.9200000,7437070
20130912,130000,144.9200000,145.2900000,144.2000000,144.6500000,8619980
20130912,140000,144.6500000,145.5500000,144.6000000,144.8900000,4807680
20130912,150000,144.8600000,145.9200000,144.8400000,145.5900000,4978570
20130912,160000,145.5700000,145.6600000,144.5000000,144.5200000,3744420
20130912,170000,144.5200000,144.9300000,144.2100000,144.4100000,4586600
20130912,180000,144.4000000,145.0000000,144.0700000,144.8400000,5565770
20130913,100000,144.6000000,145.0500000,144.2500000,144.6300000,5355680
20130913,110000,144.6900000,144.8400000,143.5100000,143.7100000,6320780
20130913,120000,143.7500000,143.7800000,142.5000000,143.0200000,6360600
20130913,130000,143.0200000,143.0500000,142.5100000,142.5800000,5763460
20130913,140000,142.5700000,142.8500000,142.2500000,142.7100000,3611460
20130913,150000,142.7500000,143.2700000,142.7300000,142.9500000,3291260
20130913,160000,142.9500000,142.9500000,142.1700000,142.2500000,4158020
20130913,170000,142.2500000,142.4300000,142.1100000,142.2400000,3892060
20130913,180000,142.2100000,142.5900000,142.1100000,142.3500000,3708110
20130916,100000,143.0500000,144.4900000,143.0400000,144.2000000,7407780
20130916,110000,144.2100000,144.2800000,143.4000000,143.9700000,5518140
20130916,120000,143.9700000,144.9900000,143.5500000,143.9200000,7969280
20130916,130000,143.9700000,144.3000000,143.4600000,144.2500000,3586380
20130916,140000,144.2200000,144.5000000,144.0000000,144.3400000,2380070
20130916,150000,144.3500000,145.2000000,144.3400000,144.7900000,12118820
20130916,160000,144.7900000,145.3500000,144.5600000,145.0900000,8768890
20130916,170000,145.0800000,146.8700000,145.0700000,145.9000000,11544680
20130916,180000,145.9000000,146.0000000,144.7500000,145.5200000,7616500
20130917,100000,144.8800000,144.9500000,144.0100000,144.9300000,3201700
20130917,110000,144.9200000,145.9500000,144.7000000,145.5000000,5735450
20130917,120000,145.5000000,145.8300000,145.1500000,145.8000000,1994970
20130917,130000,145.8000000,145.8000000,145.2300000,145.6300000,1968410
20130917,140000,145.6000000,145.7400000,145.5500000,145.6700000,2483130
20130917,150000,145.6700000,145.8900000,145.3300000,145.7400000,4223350
20130917,160000,145.7400000,145.8500000,145.5000000,145.5500000,2991670
20130917,170000,145.5700000,145.8000000,145.1200000,145.6600000,3740850
20130917,180000,145.6600000,146.1100000,145.6000000,146.0500000,7134500
20130918,100000,146.0100000,146.0100000,145.3000000,145.4500000,2857620
20130918,110000,145.4500000,148.4000000,145.3500000,147.3900000,15691570
20130918,120000,147.3900000,148.3000000,147.1400000,147.4000000,7568500
