<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20090803,000000,71.5000000,73.9200000,71.5000000,73.4100000,42880
20090804,000000,73.4700000,74.3600000,72.2400000,74.1900000,38321
20090805,000000,74.3100000,75.6200000,73.2000000,75.3500000,38675
20090806,000000,75.3600000,76.0000000,74.0100000,74.8000000,37010
20090807,000000,74.6900000,75.5500000,73.1300000,73.5400000,35407
20090808,000000,73.6200000,73.6400000,73.1300000,73.1900000,47
20090810,000000,73.6600000,74.7100000,73.5200000,74.3000000,16725
20090811,000000,74.3000000,74.6600000,72.4100000,72.8100000,27783
20090812,000000,72.8300000,74.0000000,72.1800000,73.4000000,25583
20090813,000000,73.4200000,75.1500000,73.4000000,74.3500000,44764
20090814,000000,74.4600000,75.0000000,71.1800000,71.5900000,58405
20090815,000000,71.5500000,71.6800000,71.4700000,71.4700000,109
20090817,000000,71.4400000,71.4400000,69.2100000,70.3800000,53349
20090818,000000,70.4300000,72.8100000,69.4600000,72.3900000,55267
20090819,000000,72.4000000,74.9000000,71.1700000,74.3700000,56155
20090820,000000,74.3100000,74.7800000,73.1000000,73.3000000,41626
20090821,000000,73.2600000,74.9700000,72.6500000,74.2400000,41398
20090822,000000,74.1500000,74.3200000,74.0700000,74.0800000,90
20090824,000000,74.1900000,74.7500000,73.8200000,73.9300000,31063
20090825,000000,73.9100000,74.2300000,71.0400000,71.6400000,49811
20090826,000000,71.6300000,72.4800000,70.6500000,71.6000000,49982
20090827,000000,71.6300000,72.8000000,70.4200000,72.7800000,42652
20090828,000000,72.8400000,73.3500000,71.9000000,72.7900000,47780
20090829,000000,72.8400000,72.8800000,72.7700000,72.8700000,11
20090831,000000,72.7900000,72.9500000,68.8500000,69.3200000,46538
20090901,000000,69.3400000,71.0400000,67.6100000,67.9200000,43725
20090902,000000,67.8000000,68.5500000,66.7900000,67.5300000,47588
20090903,000000,67.5200000,68.7000000,66.9500000,67.2900000,45152
20090904,000000,67.2700000,67.6700000,65.9600000,66.5900000,39298
20090905,000000,66.6200000,66.6200000,66.5500000,66.5600000,18
20090907,000000,66.6900000,68.0500000,66.3800000,66.7900000,27341
