<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110503,100000,2026.4300000,2035.4100000,2024.3100000,2032.9000000,0
20110503,110000,2033.8000000,2036.1900000,2017.1200000,2021.5600000,0
20110503,120000,2020.8200000,2023.0800000,2013.2000000,2015.4800000,0
20110503,130000,2015.4900000,2015.4900000,1998.3600000,2001.6200000,0
20110503,140000,2001.7000000,2001.7000000,1988.2200000,1989.2000000,0
20110503,150000,1988.9400000,1993.9000000,1986.9600000,1988.9900000,0
20110503,160000,1989.1300000,1995.2300000,1988.8100000,1991.6900000,0
20110503,170000,1991.3400000,1995.2500000,1985.8400000,1990.5900000,0
20110503,180000,1989.6100000,1994.2200000,1976.1600000,1976.7400000,0
20110503,190000,1976.9100000,1986.6000000,1976.8400000,1983.5300000,0
20110503,200000,1983.6100000,1984.9700000,1981.9300000,1981.9300000,0
20110503,210000,1981.9300000,1981.9300000,1973.9200000,1975.2000000,0
20110503,220000,1975.2600000,1976.1200000,1971.5600000,1972.5000000,0
20110503,230000,1972.2400000,1976.2500000,1971.5700000,1975.5700000,0
20110504,100000,1970.7700000,1975.7800000,1960.1800000,1974.3800000,0
20110504,110000,1974.6400000,1979.2900000,1970.0100000,1972.7200000,0
20110504,120000,1972.5100000,1989.3300000,1967.4100000,1988.7500000,0
20110504,130000,1989.0400000,1990.6300000,1974.0300000,1974.0300000,0
20110504,140000,1973.9500000,1973.9500000,1959.4700000,1959.4700000,0
20110504,150000,1959.4000000,1966.8500000,1955.3400000,1962.0500000,0
20110504,160000,1961.8300000,1968.2800000,1960.3000000,1966.5500000,0
20110504,170000,1966.6100000,1970.8000000,1951.5400000,1953.5400000,0
20110504,180000,1953.5700000,1953.5700000,1943.9500000,1949.9400000,0
20110504,190000,1950.0500000,1953.4500000,1945.3200000,1947.8300000,0
20110504,200000,1947.8000000,1948.7500000,1942.1700000,1943.5800000,0
20110504,210000,1943.6100000,1949.2800000,1942.8500000,1949.0300000,0
20110504,220000,1948.9300000,1952.6700000,1947.9400000,1951.2000000,0
20110504,230000,1951.2700000,1952.1300000,1949.5700000,1950.0700000,0
20110505,100000,1948.6800000,1961.2400000,1947.4200000,1961.1800000,0
20110505,110000,1961.4200000,1965.3300000,1955.3200000,1955.3200000,0
20110505,120000,1955.1000000,1955.1000000,1930.5700000,1931.5600000,0
20110505,130000,1931.4900000,1936.4000000,1928.1300000,1932.6700000,0
20110505,140000,1930.7900000,1933.6000000,1914.8600000,1919.7300000,0
20110505,150000,1919.8400000,1924.6200000,1917.7000000,1923.0600000,0
20110505,160000,1922.6500000,1924.4100000,1913.2500000,1914.0700000,0
20110505,170000,1913.7200000,1914.1500000,1904.7400000,1907.6800000,0
20110505,180000,1907.8700000,1917.0400000,1907.3700000,1916.3300000,0
20110505,190000,1916.3300000,1919.5100000,1908.2200000,1919.0800000,0
20110505,200000,1919.0800000,1921.3700000,1916.3000000,1916.8100000,0
20110505,210000,1916.8600000,1921.0000000,1915.3300000,1916.3100000,0
20110505,220000,1916.2900000,1916.4200000,1907.9100000,1908.1600000,0
20110505,230000,1907.8400000,1907.8400000,1897.9600000,1899.1600000,0
20110506,100000,1899.8400000,1900.6300000,1884.6400000,1894.6700000,0
20110506,110000,1895.6500000,1901.8200000,1880.2300000,1882.4400000,0
20110506,120000,1882.4200000,1902.1200000,1875.9800000,1902.1200000,0
20110506,130000,1902.6100000,1912.0800000,1902.4000000,1909.1800000,0
20110506,140000,1909.2600000,1909.5200000,1901.9100000,1903.7200000,0
20110506,150000,1903.6900000,1908.7300000,1898.8200000,1907.0800000,0
20110506,160000,1907.2600000,1930.8000000,1902.2300000,1930.8000000,0
20110506,170000,1930.9300000,1936.1300000,1928.3400000,1929.2000000,0
20110506,180000,1929.0200000,1938.3700000,1928.2500000,1936.2900000,0
20110506,190000,1936.2900000,1940.1300000,1933.3600000,1934.9700000,0
20110506,200000,1934.7600000,1936.0800000,1932.7900000,1933.2100000,0
20110506,210000,1933.3700000,1935.4400000,1931.9700000,1931.9700000,0
20110506,220000,1931.9600000,1933.6000000,1930.3900000,1930.7000000,0
20110506,230000,1931.5700000,1934.6800000,1930.4300000,1930.4800000,0
20110510,100000,1920.8200000,1927.3900000,1905.8800000,1927.3900000,0
20110510,110000,1926.9000000,1933.1100000,1920.9200000,1930.9700000,0
20110510,120000,1932.2900000,1932.2900000,1919.7500000,1922.4500000,0
20110510,130000,1922.0100000,1929.2600000,1921.6000000,1925.8400000,0
20110510,140000,1925.7900000,1937.0200000,1925.7900000,1932.5800000,0
20110510,150000,1932.2400000,1937.9000000,1932.1500000,1935.2900000,0
20110510,160000,1935.3100000,1937.8500000,1930.2600000,1930.4600000,0
20110510,170000,1930.0800000,1930.0800000,1922.9000000,1924.9800000,0
20110510,180000,1925.1000000,1931.9000000,1925.1000000,1927.8200000,0
20110510,190000,1927.6400000,1929.4400000,1925.2900000,1927.7400000,0
20110510,200000,1927.5200000,1928.6900000,1925.7800000,1928.0000000,0
20110510,210000,1927.8700000,1929.0200000,1926.1000000,1928.6300000,0
20110510,220000,1928.6300000,1934.8100000,1928.6300000,1934.8100000,0
20110510,230000,1934.8100000,1937.6700000,1934.1300000,1936.7700000,0
20110511,100000,1936.0500000,1944.7700000,1932.6500000,1941.4400000,0
20110511,110000,1941.3100000,1941.4500000,1928.7100000,1933.7600000,0
20110511,120000,1933.8200000,1935.9000000,1929.0600000,1933.8200000,0
20110511,130000,1934.1900000,1950.9600000,1934.1900000,1948.7600000,0
20110511,140000,1948.6100000,1948.6100000,1943.7600000,1945.8200000,0
20110511,150000,1945.8200000,1947.4700000,1941.2200000,1941.8700000,0
20110511,160000,1941.5100000,1943.3300000,1935.6300000,1937.1500000,0
20110511,170000,1937.0700000,1939.3400000,1920.8900000,1921.4600000,0
20110511,180000,1921.0000000,1921.0000000,1904.7500000,1908.4600000,0
20110511,190000,1908.4600000,1911.2400000,1905.3400000,1905.3700000,0
20110511,200000,1905.4000000,1905.4000000,1893.9000000,1896.3500000,0
20110511,210000,1896.4000000,1896.4200000,1892.1800000,1895.1300000,0
20110511,220000,1895.1200000,1895.3000000,1891.8700000,1892.5500000,0
20110511,230000,1892.5500000,1894.4600000,1892.0000000,1892.5700000,0
20110512,100000,1890.0800000,1890.0800000,1873.7700000,1879.0000000,0
20110512,110000,1879.1500000,1885.1800000,1866.0200000,1873.2500000,0
20110512,120000,1873.6800000,1873.9300000,1857.5000000,1862.1800000,0
20110512,130000,1862.2700000,1864.0600000,1854.2900000,1854.6600000,0
20110512,140000,1854.9300000,1858.5300000,1846.4000000,1852.0700000,0
20110512,150000,1852.7300000,1863.2200000,1852.2500000,1861.3100000,0
20110512,160000,1861.5000000,1869.9600000,1858.7200000,1865.6200000,0
20110512,170000,1865.3100000,1872.6700000,1856.8200000,1858.5900000,0
20110512,180000,1858.3400000,1866.4900000,1855.6000000,1864.9500000,0
20110512,190000,1864.9500000,1871.3500000,1863.0100000,1868.9600000,0
20110512,200000,1868.6800000,1873.1400000,1868.6800000,1873.1300000,0
20110512,210000,1873.2300000,1875.1600000,1869.9800000,1871.3900000,0
20110512,220000,1871.3600000,1873.6000000,1870.8300000,1871.9900000,0
