<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110701,100000,75.2900000,75.5900000,74.8100000,75.4500000,1552100
20110701,110000,75.4600000,75.5400000,75.3100000,75.4500000,2643300
20110701,120000,75.4500000,76.1000000,75.4500000,76.0900000,6895800
20110701,130000,76.0900000,78.0100000,76.0100000,77.9700000,10361800
20110701,140000,78.0000000,78.3000000,77.4500000,77.8700000,7268500
20110701,150000,77.8700000,78.4500000,77.8300000,77.9000000,9568500
20110701,160000,77.9400000,79.3000000,77.9000000,78.5800000,10412300
20110701,170000,78.5800000,78.8500000,78.3900000,78.5900000,1473900
20110701,180000,78.6400000,79.1000000,78.6300000,78.9600000,2515300
20110704,100000,79.0600000,79.2500000,78.7000000,78.7300000,2140600
20110704,110000,78.7300000,79.5300000,78.5500000,78.9000000,4745400
20110704,120000,78.9000000,79.2000000,78.8500000,79.1400000,1415300
20110704,130000,79.1100000,79.2900000,78.9300000,79.0500000,3381200
20110704,140000,79.0400000,79.1700000,78.7000000,79.0000000,1141000
20110704,150000,79.0000000,79.4000000,79.0000000,79.1300000,3113900
20110704,160000,79.1300000,80.2000000,79.1000000,80.0400000,11177100
20110704,170000,80.0400000,80.2400000,79.8800000,80.1200000,4285900
20110704,180000,80.1200000,80.2800000,79.9700000,80.0200000,2586500
20110705,100000,80.0000000,80.0000000,79.4600000,79.7900000,1693300
20110705,110000,79.7900000,80.3500000,79.6000000,80.1100000,4993300
20110705,120000,80.1200000,80.2400000,79.8900000,79.9200000,1159700
20110705,130000,79.9500000,80.5500000,79.8700000,80.4900000,4059500
20110705,140000,80.4900000,81.3500000,80.3000000,81.2500000,4394000
20110705,150000,81.2700000,81.3000000,80.5000000,80.5000000,1406200
20110705,160000,80.5000000,80.6700000,79.5000000,80.2500000,6402300
20110705,170000,80.2500000,80.3200000,79.9600000,80.2500000,1452100
20110705,180000,80.2300000,80.7000000,80.1100000,80.1900000,3219000
20110706,100000,80.5000000,80.5000000,79.9100000,79.9300000,1167800
20110706,110000,79.9100000,80.0600000,79.1200000,79.6500000,3954600
20110706,120000,79.6500000,79.9300000,79.6000000,79.8600000,1199500
20110706,130000,79.8500000,80.1900000,79.7700000,80.0500000,695600
20110706,140000,80.0500000,80.1900000,79.8700000,80.0000000,1069900
20110706,150000,80.0000000,80.1000000,79.7200000,79.8200000,640700
20110706,160000,79.8000000,79.9000000,79.7000000,79.7300000,400300
20110706,170000,79.7300000,81.0000000,79.7300000,80.6900000,4018400
20110706,180000,80.7000000,80.7500000,80.2800000,80.3000000,3060000
20110707,100000,80.7000000,81.1800000,80.6000000,81.0400000,1250800
20110707,110000,81.0500000,81.6200000,80.8900000,81.6000000,4484400
20110707,120000,81.6000000,82.0200000,81.4500000,81.8000000,4495500
20110707,130000,81.8000000,81.8800000,81.4000000,81.5700000,2603200
20110707,140000,81.5700000,81.7200000,81.4100000,81.4300000,1122800
20110707,150000,81.4500000,81.4700000,81.0200000,81.3100000,1800200
20110707,160000,81.3100000,81.9400000,81.3100000,81.8300000,4270800
20110707,170000,81.8800000,82.3900000,81.8000000,82.0600000,10101100
20110707,180000,82.0200000,82.4500000,81.8100000,82.4000000,5303300
20110708,100000,82.0000000,82.3200000,81.8100000,82.0900000,1513500
20110708,110000,82.0900000,82.7800000,81.9700000,82.5300000,5737200
20110708,120000,82.5300000,82.5900000,82.0000000,82.2100000,1779900
20110708,130000,82.2200000,82.2600000,81.8200000,82.0800000,1696500
20110708,140000,82.0800000,82.3900000,81.9000000,81.9700000,2214800
20110708,150000,81.9700000,82.2600000,81.8200000,82.0700000,1127100
20110708,160000,82.0800000,82.4000000,80.6800000,80.9000000,7095400
20110708,170000,80.9300000,81.5000000,80.7300000,81.3100000,5810600
20110708,180000,81.3100000,81.3700000,80.3500000,80.8500000,2714700
20110711,100000,80.5500000,80.7700000,80.2100000,80.4100000,1494200
20110711,110000,80.4100000,80.6700000,79.7200000,80.3300000,5020400
20110711,120000,80.3300000,80.5400000,80.0300000,80.3800000,673500
20110711,130000,80.3300000,80.3700000,80.0100000,80.2000000,655600
20110711,140000,80.2000000,80.3700000,79.9100000,79.9200000,532800
20110711,150000,79.9100000,79.9200000,79.4100000,79.4700000,2413700
20110711,160000,79.4700000,79.7200000,79.3600000,79.4000000,1506200
20110711,170000,79.4000000,79.5000000,79.0000000,79.4700000,3539300
20110711,180000,79.4700000,79.5400000,78.5500000,79.5000000,3658300
20110712,100000,78.0000000,79.0000000,77.9000000,78.6700000,2541400
20110712,110000,78.7000000,78.8900000,78.2700000,78.3200000,2817300
20110712,120000,78.3000000,78.9100000,78.3000000,78.5200000,3325500
20110712,130000,78.5400000,79.2800000,78.5400000,78.9600000,1860800
20110712,140000,78.9600000,79.0800000,78.7900000,78.8900000,798100
20110712,150000,78.8900000,79.7800000,78.6500000,79.7400000,2979900
20110712,160000,79.7400000,80.0000000,79.4100000,79.6500000,3528000
20110712,170000,79.6700000,79.9800000,79.6200000,79.9000000,1166000
20110712,180000,79.9000000,80.8500000,79.8700000,80.8000000,3494600
20110713,100000,81.0000000,81.6100000,80.6600000,81.0800000,5468000
20110713,110000,81.0700000,81.4500000,80.7900000,81.2300000,2131900
20110713,120000,81.2700000,81.2900000,80.5000000,80.8000000,3530200
20110713,130000,80.8000000,81.0000000,80.5700000,80.9000000,1359700
20110713,140000,80.9000000,81.0900000,80.8500000,81.0000000,638700
20110713,150000,80.9600000,80.9900000,80.1500000,80.3100000,3038400
20110713,160000,80.2600000,80.4600000,80.0800000,80.3000000,816200
20110713,170000,80.3000000,80.9000000,80.2500000,80.7000000,2484000
20110713,180000,80.7100000,81.8000000,80.7000000,81.6900000,8099200
20110714,100000,81.1100000,81.5000000,81.0200000,81.3400000,2295700
20110714,110000,81.3200000,82.0800000,81.1500000,82.0100000,3181200
20110714,120000,81.9700000,82.4800000,81.8700000,82.2100000,2308400
20110714,130000,82.2100000,82.4100000,81.5600000,81.6200000,1761200
20110714,140000,81.6200000,81.6800000,81.2600000,81.6100000,2188200
20110714,150000,81.6000000,81.9300000,81.3100000,81.7000000,1093500
20110714,160000,81.6300000,82.1900000,81.5500000,82.0900000,1048500
20110714,170000,82.1000000,82.3800000,82.0000000,82.2600000,2017100
20110714,180000,82.2700000,82.3000000,81.4700000,81.5400000,3259500
20110715,100000,81.1200000,81.3000000,80.7000000,81.1000000,1827900
20110715,110000,81.1000000,81.9500000,81.0700000,81.7200000,2964800
20110715,120000,81.7200000,82.2700000,81.5000000,81.9700000,6883100
20110715,130000,81.9500000,82.0800000,81.7000000,81.8000000,740800
20110715,140000,81.8600000,81.9400000,81.6400000,81.7200000,430000
20110715,150000,81.6500000,82.0100000,81.6500000,81.8500000,880300
20110715,160000,81.8700000,82.1000000,81.6500000,81.9700000,1217300
20110715,170000,81.9700000,82.0300000,81.6100000,81.6700000,760900
20110715,180000,81.7400000,81.8500000,81.1800000,81.8500000,3931700
20110718,100000,81.6100000,81.8400000,81.3200000,81.4000000,1004700
20110718,110000,81.4000000,81.9200000,81.1100000,81.4500000,1420000
20110718,120000,81.4100000,81.5500000,81.1600000,81.4100000,666900
20110718,130000,81.4000000,81.4500000,81.0100000,81.2700000,934300
20110718,140000,81.2700000,81.2700000,80.2500000,80.5700000,2608900
20110718,150000,80.5700000,80.5900000,79.7100000,80.0100000,3789100
20110718,160000,80.0200000,80.4500000,79.9300000,80.4000000,1546200
20110718,170000,80.4000000,80.5000000,79.9100000,80.0800000,2053200
20110718,180000,80.0600000,80.1900000,79.5600000,79.9500000,3715500
20110719,100000,80.0500000,80.8800000,80.0500000,80.3600000,1426500
20110719,110000,80.3200000,80.7400000,80.1100000,80.5500000,3680600
20110719,120000,80.5700000,80.6000000,80.2100000,80.3500000,820800
20110719,130000,80.3100000,80.4900000,80.2500000,80.3900000,919900
20110719,140000,80.3800000,80.4400000,80.2200000,80.3800000,1145700
20110719,150000,80.3800000,80.4500000,80.1200000,80.3400000,484500
20110719,160000,80.2400000,80.3800000,80.1300000,80.2000000,1287900
20110719,170000,80.2000000,80.3500000,79.9500000,80.1800000,3045700
20110719,180000,80.2200000,80.5500000,80.1200000,80.5000000,1145200
20110720,100000,81.0000000,81.3000000,80.9000000,80.9700000,1317600
20110720,110000,81.0100000,81.1700000,80.7500000,80.8200000,1925800
20110720,120000,80.8300000,80.9500000,80.6500000,80.8000000,949400
20110720,130000,80.7900000,80.8500000,80.5900000,80.7800000,927900
20110720,140000,80.7300000,80.8000000,80.7000000,80.7500000,1048000
20110720,150000,80.7500000,80.7900000,80.6200000,80.7000000,702300
20110720,160000,80.7000000,80.8000000,80.6000000,80.7100000,962700
20110720,170000,80.6300000,80.8000000,80.2600000,80.4700000,1294100
20110720,180000,80.4200000,80.5700000,80.2200000,80.2500000,1366500
20110721,100000,80.3900000,80.5900000,80.2400000,80.4300000,390900
20110721,110000,80.4100000,80.6300000,79.6600000,79.8500000,1987400
20110721,120000,79.8500000,80.0700000,79.7500000,80.0000000,782400
20110721,130000,80.0000000,80.0700000,79.5700000,79.6200000,1219000
20110721,140000,79.6300000,79.7600000,79.2300000,79.7500000,1571600
