<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20090803,000000,31.4750000,31.4920000,30.9240000,30.9710000,0
20090804,000000,30.9650000,31.2110000,30.9490000,31.1100000,0
20090805,000000,31.0980000,31.2360000,31.0700000,31.1940000,0
20090806,000000,31.1920000,31.3600000,31.1320000,31.3320000,0
20090807,000000,31.3050000,31.7120000,31.2970000,31.6730000,0
20090808,000000,31.6710000,31.6740000,31.6410000,31.6410000,0
20090809,000000,31.6700000,31.6700000,31.6700000,31.6700000,0
20090810,000000,31.6640000,31.8960000,31.5470000,31.8440000,0
20090811,000000,31.8560000,32.4120000,31.7130000,32.2400000,0
20090812,000000,32.2320000,32.8990000,32.2250000,32.3980000,0
20090813,000000,32.3960000,32.4870000,31.6700000,31.7310000,0
20090814,000000,31.7340000,31.8700000,31.5020000,31.7140000,0
20090815,000000,31.7100000,31.7120000,31.6910000,31.6910000,0
20090816,000000,31.7070000,31.7240000,31.7040000,31.7040000,0
20090817,000000,31.7080000,32.4120000,31.7010000,32.2420000,0
20090818,000000,32.2270000,32.2660000,31.8000000,31.9200000,0
20090819,000000,31.9280000,32.0350000,31.8075000,31.8570000,0
20090820,000000,31.8580000,31.8970000,31.5510000,31.8230000,0
20090821,000000,31.8520000,31.9870000,31.5950000,31.6500000,0
20090824,000000,31.6350000,31.6620000,31.3690000,31.4290000,0
20090825,000000,31.4220000,31.6680000,31.2700000,31.3190000,0
20090826,000000,31.3010000,31.6210000,31.2970000,31.5810000,0
20090827,000000,31.5740000,31.7500000,31.5100000,31.5810000,0
20090828,000000,31.5890000,31.7310000,31.5000000,31.6300000,0
20090831,000000,31.6300000,31.8880000,31.6300000,31.7650000,0
20090901,000000,31.7970000,31.9450000,31.7100000,31.9450000,0
20090902,000000,31.9280000,32.1060000,31.9000000,31.9790000,0
20090903,000000,31.9690000,31.9880000,31.6020000,31.7750000,0
20090904,000000,31.7610000,31.8140000,31.5550000,31.5830000,0
20090905,000000,31.5920000,31.6390000,31.5780000,31.6390000,2
20090906,000000,31.6040000,31.6050000,31.5930000,31.5970000,0
20090907,000000,31.5970000,31.6390000,31.3830000,31.4870000,12
20090908,000000,31.4770000,31.5010000,31.1860000,31.2240000,14
20090909,000000,31.2330000,31.2700000,30.9920000,31.0380000,9
20090910,000000,31.0500000,31.0600000,30.8120000,30.8550000,10
20090911,000000,30.8720000,30.9100000,30.5880000,30.6510000,21
20090912,000000,30.6560000,30.6790000,30.6490000,30.6790000,0
20090913,000000,30.6380000,30.6380000,30.6280000,30.6340000,2
20090914,000000,30.6540000,30.9100000,30.6260000,30.8560000,18
20090915,000000,30.8680000,31.1020000,30.7710000,30.8300000,24
20090916,000000,30.8300000,30.8300000,30.4820000,30.4820000,32
20090917,000000,30.4820000,30.5950000,30.2450000,30.3450000,18
20090918,000000,30.3450000,30.4340000,30.2200000,30.2470000,16
20090919,000000,30.2700000,30.3200000,30.2440000,30.2600000,1
20090920,000000,30.2620000,30.2740000,30.2540000,30.2540000,3
20090921,000000,30.2480000,30.4440000,30.2390000,30.3720000,13
20090922,000000,30.3650000,30.4220000,30.0540000,30.1150000,9
