moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2016-06-28;NLMK;"Фьючесрный контракт на обыкновенные акции ОАО ""НЛМК""";F;;3,0000;30,000;397,00;557,00;-6,0000;-2,0000;-0,01489;-0,00358;
2016-06-28;NLMK;"Фьючесрный контракт на обыкновенные акции ОАО ""НЛМК""";F;1,0000;4,0000;12,000;180,00;20,000;-28,000;-32,000;-0,13462;-0,61538;
2016-06-28;NLMK;"Опцион на фьючерс на акции ОАО ""НЛМК""";P;1,0000;1,0000;1,0000;9,0000;9,0000;;;;;
2016-06-28;NOTK;"Опцион на фьючерс на обыкновенные акции ОАО ""НОВАТЭК""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-06-28;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;;8,0000;16,000;79,000;208,00;-1,0000;-10,000;-0,01250;-0,04587;
2016-06-28;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;1,0000;6,0000;5,0000;155,00;26,000;-6,0000;3,0000;-0,03727;0,13043;
2016-06-28;OF10;"Фьючерсный контракт на ""десятилетние"" облигации федерального займа";F;;5,0000;5,0000;9840,0;9900,0;;15,000;;0,00152;
2016-06-28;OF10;"Фьючерсный контракт на ""десятилетние"" облигации федерального займа";F;1,0000;4,0000;5,0000;256,00;196,00;170,00;155,00;1,9767;3,7805;
2016-06-28;OF15;"Фьючерсный контракт на ""пятнадцатилетние"" облигации федерального займа";F;;7,0000;9,0000;7742,0;8330,0;;-20,000;;-0,00240;
2016-06-28;OF15;"Фьючерсный контракт на ""пятнадцатилетние"" облигации федерального займа";F;1,0000;5,0000;12,000;3485,0;2897,0;-20,000;;-0,00571;;
2016-06-28;OFZ2;"Фьючерсный контракт на ""двухлетние"" облигации федерального займа";F;;3,0000;4,0000;2021,0;2096,0;;;;;
2016-06-28;OFZ2;"Фьючерсный контракт на ""двухлетние"" облигации федерального займа";F;1,0000;5,0000;1,0000;88,000;13,000;;;;;
2016-06-28;OFZ4;"Фьючерсный контракт на ""четырехлетние"" облигации федерального займа";F;;3,0000;2,0000;4908,0;19,000;358,00;-4447,0;0,07868;-0,99575;
2016-06-28;OFZ4;"Фьючерсный контракт на ""четырехлетние"" облигации федерального займа";F;1,0000;2,0000;2,0000;9,0000;4898,0;;4805,0;;51,667;
2016-06-28;OFZ6;"Фьючерсный контракт на ""шестилетние"" облигации федерального займа";F;;2,0000;;;429,00;-2500,0;-2010,0;-1,0000;-0,82411;
2016-06-28;OFZ6;"Фьючерсный контракт на ""шестилетние"" облигации федерального займа";F;1,0000;;1,0000;429,00;;429,00;-61,000;;-1,0000;
2016-06-28;PLD;Фьючерсный контракт на аффинированный палладий в слитках;F;;5,0000;1,0000;24,000;10,000;-17,000;-15,000;-0,41463;-0,60000;
2016-06-28;PLD;Фьючерсный контракт на аффинированный палладий в слитках;F;1,0000;6,0000;;;14,000;;-2,0000;;-0,12500;
2016-06-28;TATN;"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";F;;19,000;10,000;732,00;1678,0;4,0000;13,000;0,00549;0,00781;
2016-06-28;TATN;"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";F;1,0000;7,0000;14,000;1406,0;460,00;6,0000;-3,0000;0,00429;-0,00648;
2016-06-28;TATN;"Опцион на фьючерс на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина";P;1,0000;1,0000;1,0000;7,0000;7,0000;;;;;
2016-06-28;TRNF;"Фьючерсный контракт на привилегированные акции ОАО АК ""Транснефть""";F;;22,000;13,000;159,00;188,00;-9,0000;-1,0000;-0,05357;-0,00529;
2016-06-28;TRNF;"Фьючерсный контракт на привилегированные акции ОАО АК ""Транснефть""";F;1,0000;10,000;8,0000;180,00;151,00;11,000;3,0000;0,06509;0,02027;
2016-06-28;UCAD;Фьючерсный контракт на курс доллар США - канадский доллар;F;;14,000;8,0000;1258,0;1863,0;385,00;980,00;0,44101;1,1099;
2016-06-28;UCAD;Фьючерсный контракт на курс доллар США - канадский доллар;F;1,0000;9,0000;16,000;637,00;32,000;596,00;1,0000;14,537;0,03226;
2016-06-28;UCHF;Фьючерсный контракт на курс доллар США - швейцарский франк;F;;4,0000;2,0000;3093,0;2954,0;-12,000;-12,000;-0,00386;-0,00405;
2016-06-28;UCHF;Фьючерсный контракт на курс доллар США - швейцарский франк;F;1,0000;3,0000;3,0000;4,0000;143,00;-1,0000;-1,0000;-0,20000;-0,00694;
2016-06-28;UJPY;Фьючерсный контракт на курс доллар США - японская йена;F;;156,00;22,000;9529,0;6423,0;-1161,0;-227,00;-0,10861;-0,03414;
2016-06-28;UJPY;Фьючерсный контракт на курс доллар США - японская йена;F;1,0000;122,00;10,000;515,00;3621,0;441,00;-493,00;5,9595;-0,11983;
2016-06-28;URKA;"Фьючерсный контракт на обыкновенные акции ПАО ""Уралкалий""";F;;10,000;7,0000;59,000;114,00;;-4,0000;;-0,03390;
2016-06-28;URKA;"Фьючерсный контракт на обыкновенные акции ПАО ""Уралкалий""";F;1,0000;2,0000;3,0000;119,00;64,000;-4,0000;;-0,03252;;
2016-06-28;UTRY;Фьючерсный контракт на курс доллар США - турецкая лира;F;;3,0000;1,0000;9,0000;8,0000;-991,00;-991,00;-0,99100;-0,99199;
2016-06-28;UTRY;Фьючерсный контракт на курс доллар США - турецкая лира;F;1,0000;1,0000;;;1,0000;;;;;
2016-06-28;UUAH;Фьючерсный контракт на курс доллар США - украинская гривна;F;;1,0000;1,0000;1,0000;1,0000;;;;;
2016-06-28;UUAH;Фьючерсный контракт на курс доллар США - украинская гривна;F;1,0000;1,0000;1,0000;2,0000;2,0000;;;;;
2016-06-28;VTBR;Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО);F;;287,00;210,00;62194;57000;-12446;-12788;-0,16675;-0,18324;
2016-06-28;VTBR;Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО);F;1,0000;295,00;121,00;10006;15200;192,00;534,00;0,01956;0,03641;
2016-06-28;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);C;;11,000;11,000;150,00;305,00;10,000;;0,07143;;
2016-06-28;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);C;1,0000;4,0000;5,0000;168,00;13,000;;10,000;;3,3333;
2016-06-28;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);P;;3,0000;3,0000;3,0000;3,0000;;;;;
2016-06-28;VTBR;Опцион на фьючерс на обыкновенные акции Банк ВТБ (ПАО);P;1,0000;4,0000;3,0000;7,0000;7,0000;;;;;
2016-06-28;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;;18,000;17,000;1997,0;1550,0;1215,0;959,00;1,5537;1,6227;
2016-06-28;AUDU;Фьючерсный контракт на курс австралийский доллар-доллар США;F;1,0000;20,000;4,0000;78,000;525,00;8,0000;264,00;0,11429;1,0115;
2016-06-28;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;;43,000;34,000;33918;34559;474,00;1138,0;0,01417;0,03405;
2016-06-28;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";C;1,0000;40,000;45,000;1751,0;1110,0;1238,0;574,00;2,4133;1,0709;
2016-06-28;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;;42,000;27,000;31051;31429;461,00;1079,0;0,01507;0,03555;
2016-06-28;BR;"Опцион на фьючерсный контракт на нефть сорта ""BRENT""";P;1,0000;40,000;38,000;1137,0;759,00;1023,0;405,00;8,9737;1,1441;
2016-06-28;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;;1788,0;1147,0;169906;151305;4235,0;8011,0;0,02556;0,05591;
2016-06-28;BR;"Фьючерсный контракт на нефть сорта ""BRENT""";F;1,0000;846,00;690,00;22682;41283;1382,0;-2394,0;0,06488;-0,05481;
2016-06-28;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;;22,000;24,000;105,00;329,00;10,000;61,000;0,10526;0,22761;
2016-06-28;CHMF;"Фьючерсный контракт на обыкновенные акции ОАО ""Северсталь""";F;1,0000;12,000;21,000;248,00;24,000;52,000;1,0000;0,26531;0,04348;
2016-06-28;CHMF;"Опцион на фьючерс на акции ОАО ""Северсталь""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2016-06-28;CU;Фьючерсный контракт на медь;F;;4,0000;3,0000;9,0000;25,000;1,0000;;0,12500;;
2016-06-28;CU;Фьючерсный контракт на медь;F;1,0000;4,0000;7,0000;35,000;19,000;4,0000;5,0000;0,12903;0,35714;
2016-06-28;CY;Фьючерсный контракт на курс китайский юань - российский рубль;F;;1,0000;1,0000;2,0000;2,0000;;;;;
2016-06-28;ED;Фьючерсный контракт на курс евро-доллар США;F;;152,00;207,00;24591;30114;1618,0;650,00;0,07043;0,02206;
