moment;isin;name;contract_type;iz_fiz;clients_in_long;clients_in_lshort;short_position;long_position;change_prev_week_short_abs;change_prev_week_long_abs;change_prev_week_short_perc;change_prev_week_long_perc;
2017-06-28;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;;54,000;30,000;86351;64429;2186,0;1842,0;0,02597;0,02943;
2017-06-28;GOLD;Фьючерсный контракт на аффинированное золото в слитках;F;1,0000;1261,0;503,00;16149;38071;495,00;839,00;0,03162;0,02253;
2017-06-28;ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";F;;23,000;17,000;16571;5036,0;270,00;1232,0;0,01656;0,32387;
2017-06-28;ROSN;"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""";F;1,0000;277,00;236,00;4179,0;15714;636,00;-326,00;0,17951;-0,02032;
2017-06-28;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";C;;;1,0000;10,000;;;;;;
2017-06-28;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";C;1,0000;4,0000;5,0000;21,000;31,000;;;;;
2017-06-28;GMKR;"Опцион на фьючерс на обыкновенные акции ПАО ""ГМК ""Норильский Никель""";P;1,0000;1,0000;1,0000;1,0000;1,0000;;;;;
2017-06-28;GOLD;Опцион на фьючерс на золото в слитках;C;;1,0000;5,0000;472,00;5,0000;80,000;;0,20408;;
2017-06-28;GOLD;Опцион на фьючерс на золото в слитках;C;1,0000;26,000;15,000;144,00;611,00;1,0000;81,000;0,00699;0,15283;
2017-06-28;GOLD;Опцион на фьючерс на золото в слитках;P;;2,0000;4,0000;154,00;18,000;;;;;
2017-06-28;GOLD;Опцион на фьючерс на золото в слитках;P;1,0000;7,0000;10,000;50,000;186,00;;;;;
2017-06-28;ROSN;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""Роснефть""";C;;;2,0000;217,00;;-84,000;;-0,27907;;
2017-06-28;ROSN;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""Роснефть""";C;1,0000;2,0000;1,0000;14,000;231,00;;-84,000;;-0,26667;
2017-06-28;ROSN;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""Роснефть""";P;;1,0000;;;1,0000;;;;;
2017-06-28;ROSN;"Опцион на фьючерс на обыкновенные акции ПАО ""НК ""Роснефть""";P;1,0000;;1,0000;1,0000;;;;;;
2017-06-28;SNGR;"Опцион на фьючерс на обыкновенные акции ОАО ""Сургутнефтегаз""";P;1,0000;1,0000;1,0000;3,0000;3,0000;;;;;
2017-06-28;MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";F;;8,0000;6,0000;2852,0;1384,0;371,00;173,00;0,14954;0,14286;
2017-06-28;MTSI;"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""";F;1,0000;113,00;51,000;639,00;2107,0;-74,000;124,00;-0,10379;0,06253;
2017-06-28;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;;3,0000;4,0000;71,000;104,00;4,0000;1,0000;0,05970;0,00971;
2017-06-28;NOTK;"Фьючерсный контракт на обыкновенные акции ОАО ""НОВАТЭК""";F;1,0000;20,000;14,000;78,000;45,000;;3,0000;;0,07143;
2017-06-28;TRNF;"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""";F;;4,0000;5,0000;386,00;505,00;-150,00;496,00;-0,27985;55,111;
