<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20160210; 195100; 79418.00; 79483.00; 79414.00; 79478.00; 2825.00
20160210; 195200; 79481.00; 79570.00; 79462.00; 79557.00; 5871.00
20160210; 195300; 79560.00; 79570.00; 79514.00; 79522.00; 2460.00
20160210; 195400; 79516.00; 79544.00; 79491.00; 79520.00; 3238.00
20160210; 195500; 79517.00; 79538.00; 79470.00; 79486.00; 4634.00
20160210; 195600; 79481.00; 79513.00; 79419.00; 79442.00; 5340.00
20160210; 195700; 79442.00; 79453.00; 79368.00; 79396.00; 7088.00
20160210; 195800; 79393.00; 79410.00; 79385.00; 79395.00; 3002.00
20160210; 195900; 79395.00; 79431.00; 79388.00; 79426.00; 2381.00
20160210; 200000; 79420.00; 79420.00; 79311.00; 79311.00; 8367.00
20160210; 200100; 79311.00; 79324.00; 79244.00; 79322.00; 7769.00
20160210; 200200; 79323.00; 79398.00; 79322.00; 79380.00; 5611.00
20160210; 200300; 79380.00; 79427.00; 79369.00; 79397.00; 4902.00
20160210; 200400; 79395.00; 79416.00; 79365.00; 79377.00; 2717.00
20160210; 200500; 79373.00; 79431.00; 79357.00; 79422.00; 4324.00
20160210; 200600; 79423.00; 79496.00; 79418.00; 79477.00; 3068.00
20160210; 200700; 79473.00; 79513.00; 79450.00; 79453.00; 2525.00
20160210; 200800; 79453.00; 79454.00; 79365.00; 79379.00; 3817.00
20160210; 200900; 79373.00; 79390.00; 79280.00; 79301.00; 4164.00
20160210; 201000; 79300.00; 79340.00; 79277.00; 79315.00; 3414.00
20160210; 201100; 79311.00; 79322.00; 79287.00; 79292.00; 2331.00
20160210; 201200; 79293.00; 79337.00; 79287.00; 79321.00; 1861.00
20160210; 201300; 79321.00; 79335.00; 79286.00; 79309.00; 1573.00
20160210; 201400; 79312.00; 79389.00; 79312.00; 79358.00; 2775.00
20160210; 201500; 79360.00; 79382.00; 79336.00; 79367.00; 2000.00
20160210; 201600; 79363.00; 79372.00; 79326.00; 79331.00; 1731.00
20160210; 201700; 79327.00; 79358.00; 79308.00; 79337.00; 2428.00
20160210; 201800; 79332.00; 79357.00; 79311.00; 79331.00; 1738.00
20160210; 201900; 79324.00; 79350.00; 79301.00; 79308.00; 2337.00
20160210; 202000; 79303.00; 79320.00; 79285.00; 79312.00; 2994.00
