<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20160216; 200700; 78221.00; 78229.00; 78180.00; 78195.00; 2421.00
20160216; 200800; 78197.00; 78214.00; 78158.00; 78161.00; 2802.00
20160216; 200900; 78161.00; 78166.00; 78122.00; 78162.00; 3554.00
20160216; 201000; 78156.00; 78214.00; 78133.00; 78203.00; 7627.00
20160216; 201100; 78203.00; 78216.00; 78173.00; 78208.00; 4002.00
20160216; 201200; 78209.00; 78260.00; 78204.00; 78252.00; 3601.00
20160216; 201300; 78254.00; 78258.00; 78221.00; 78248.00; 1777.00
20160216; 201400; 78246.00; 78285.00; 78242.00; 78256.00; 2479.00
20160216; 201500; 78251.00; 78280.00; 78224.00; 78239.00; 2680.00
20160216; 201600; 78238.00; 78270.00; 78220.00; 78220.00; 1439.00
20160216; 201700; 78222.00; 78250.00; 78202.00; 78213.00; 3447.00
20160216; 201800; 78209.00; 78275.00; 78209.00; 78238.00; 3022.00
20160216; 201900; 78234.00; 78247.00; 78216.00; 78229.00; 1367.00
20160216; 202000; 78231.00; 78231.00; 78202.00; 78216.00; 1226.00
20160216; 202100; 78215.00; 78230.00; 78191.00; 78193.00; 2911.00
20160216; 202200; 78198.00; 78222.00; 78190.00; 78200.00; 1618.00
20160216; 202300; 78205.00; 78240.00; 78200.00; 78232.00; 4091.00
20160216; 202400; 78233.00; 78242.00; 78212.00; 78235.00; 6255.00
20160216; 202500; 78236.00; 78255.00; 78215.00; 78253.00; 3754.00
20160216; 202600; 78254.00; 78260.00; 78233.00; 78249.00; 1104.00
20160216; 202700; 78250.00; 78252.00; 78201.00; 78226.00; 4310.00
20160216; 202800; 78226.00; 78239.00; 78202.00; 78218.00; 2325.00
20160216; 202900; 78222.00; 78240.00; 78207.00; 78225.00; 1321.00
20160216; 203000; 78225.00; 78230.00; 78204.00; 78204.00; 918.00
20160216; 203100; 78208.00; 78221.00; 78200.00; 78207.00; 1295.00
20160216; 203200; 78208.00; 78235.00; 78202.00; 78219.00; 2182.00
20160216; 203300; 78222.00; 78238.00; 78219.00; 78229.00; 1491.00
20160216; 203400; 78231.00; 78265.00; 78225.00; 78264.00; 3453.00
20160216; 203500; 78261.00; 78272.00; 78236.00; 78236.00; 2233.00
20160216; 203600; 78238.00; 78286.00; 78234.00; 78267.00; 1487.00
20160216; 203700; 78263.00; 78269.00; 78245.00; 78265.00; 1372.00
20160216; 203800; 78266.00; 78291.00; 78256.00; 78283.00; 2218.00
20160216; 203900; 78283.00; 78328.00; 78281.00; 78299.00; 2866.00
20160216; 204000; 78301.00; 78370.00; 78297.00; 78361.00; 2699.00
20160216; 204100; 78365.00; 78407.00; 78353.00; 78396.00; 3933.00
20160216; 204200; 78396.00; 78404.00; 78374.00; 78388.00; 1712.00
20160216; 204300; 78384.00; 78418.00; 78380.00; 78391.00; 2169.00
20160216; 204400; 78396.00; 78410.00; 78375.00; 78401.00; 2693.00
20160216; 204500; 78401.00; 78447.00; 78401.00; 78421.00; 2742.00
20160216; 204600; 78425.00; 78473.00; 78424.00; 78448.00; 2148.00
20160216; 204700; 78450.00; 78460.00; 78423.00; 78427.00; 1649.00
20160216; 204800; 78428.00; 78432.00; 78402.00; 78419.00; 1565.00
20160216; 204900; 78418.00; 78449.00; 78400.00; 78445.00; 1345.00
20160216; 205000; 78445.00; 78518.00; 78443.00; 78490.00; 4660.00
20160216; 205100; 78491.00; 78502.00; 78431.00; 78432.00; 2351.00
20160216; 205200; 78437.00; 78463.00; 78432.00; 78438.00; 1260.00
20160216; 205300; 78444.00; 78444.00; 78365.00; 78390.00; 4559.00
20160216; 205400; 78391.00; 78398.00; 78312.00; 78321.00; 3109.00
20160216; 205500; 78321.00; 78349.00; 78216.00; 78220.00; 5741.00
20160216; 205600; 78220.00; 78257.00; 78200.00; 78236.00; 6265.00
20160216; 205700; 78237.00; 78295.00; 78236.00; 78252.00; 3348.00
20160216; 205800; 78256.00; 78301.00; 78246.00; 78297.00; 1550.00
20160216; 205900; 78298.00; 78306.00; 78263.00; 78290.00; 1360.00
20160216; 210000; 78292.00; 78298.00; 78227.00; 78252.00; 3500.00
20160216; 210100; 78250.00; 78273.00; 78234.00; 78264.00; 999.00
20160216; 210200; 78266.00; 78290.00; 78242.00; 78252.00; 2909.00
20160216; 210300; 78253.00; 78265.00; 78205.00; 78216.00; 2621.00
20160216; 210400; 78211.00; 78245.00; 78203.00; 78233.00; 1249.00
20160216; 210500; 78237.00; 78300.00; 78232.00; 78260.00; 2428.00
20160216; 210600; 78261.00; 78280.00; 78252.00; 78264.00; 1157.00
20160216; 210700; 78263.00; 78296.00; 78254.00; 78294.00; 1444.00
20160216; 210800; 78297.00; 78335.00; 78291.00; 78320.00; 1836.00
20160216; 210900; 78321.00; 78324.00; 78278.00; 78317.00; 1700.00
20160216; 211000; 78317.00; 78330.00; 78273.00; 78278.00; 1028.00
20160216; 211100; 78283.00; 78316.00; 78281.00; 78315.00; 1535.00
20160216; 211200; 78316.00; 78338.00; 78309.00; 78330.00; 500.00
20160216; 211300; 78326.00; 78335.00; 78308.00; 78323.00; 681.00
