Br Usd Category Group
12 20 1 1
17 -8 1 1
31 17 1 2
-6 6 2 1
14 0 1 2
14 12 1 2
8 12 1 1
2 20 1 2
11 7 1 2
12 13 1 2
-12 10 2 1
-6 22 2 2
-6 15 2 2
3 8 1 2
6 12 1 2
-29 2 2 1
-39 12 2 2
-16 12 2 2
-13 11 2 2
-5 6 2 2
-1 10 2 2
50 9 1 1
21 11 1 2
5 10 1 2
5 11 1 2
3 10 1 2
6 7 1 2
8 10 1 2
4 -8 1 1
54 1 1 2
12 1 1 2
5 4 1 2
5 6 1 2
3 7 1 2
6 4 1 2
-4 -10 2 1
-4 -19 2 2
23 -5 1 2
5 -3 1 2
2 1 1 2
2 3 1 2
1 4 1 2
-2 5 2 1
-2 -9 2 2
-1 -9 2 2
16 -3 1 2
5 -2 1 2
2 0 1 2
2 2 1 2
4 -9 1 1
2 -4 1 2
1 -9 1 2
1 -9 1 2
13 -5 1 2
5 -3 1 2
2 -1 1 2
-2 8 2 1
0 -3 2 2
-1 1 2 2
-1 -4 2 2
-1 -5 2 2
10 -2 1 2
3 -2 1 2
19 -1 1 1
16 8 1 2
9 -1 1 2
5 1 1 2
4 -3 1 2
3 -4 1 2
11 -2 1 2
-12 33 2 1
4 34 1 2
1 21 1 2
1 11 1 2
1 9 1 2
0 5 2 2
0 2 2 2
2 -18 1 1
-6 9 2 2
5 5 1 2
3 6 1 2
3 2 1 2
2 3 1 2
1 0 1 2
-6 14 2 1
-2 -4 2 2
-5 11 2 2
2 8 1 2
1 8 1 2
1 4 1 2
1 4 1 2
0 -11 2 1
-4 3 2 2
0 -7 2 2
-3 4 2 2
2 3 1 2
1 4 1 2
1 2 1 2
23 -6 1 1
21 -13 1 2
8 0 1 2
7 -6 1 2
3 2 1 2
6 2 1 2
4 3 1 2
-10 -5 2 1
10 -10 1 2
4 -8 1 2
1 -1 1 2
2 -5 1 2
0 1 2 2
3 1 1 2
-18 9 2 1
-27 5 2 2
-3 0 2 2
-3 -2 2 2
-3 2 2 2
-2 -2 2 2
-3 3 2 2
14 -3 1 1
-2 7 2 2
-5 2 2 2
3 -1 1 2
2 -2 1 2
1 1 1 2
1 -2 1 2
-8 -3 2 1
2 -6 1 2
-7 2 2 2
-8 0 2 2
-1 -1 2 2
-1 -2 2 2
-1 0 2 2
8 8 1 1
-2 4 2 2
4 0 1 2
-3 3 2 2
-4 2 2 2
1 0 1 2
0 -1 2 2
-6 1 2 1
2 11 1 2
-4 3 2 2
1 1 1 2
-4 3 2 2
-5 2 2 2
0 1 2 2
