<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20141101;000500;85.9000000;85.9000000;85.8700000;85.9000000;8
20141101;001000;85.9000000;85.9100000;85.9000000;85.9100000;3
20141101;001500;85.9100000;85.9300000;85.9100000;85.9300000;11
20141101;002500;85.9400000;85.9400000;85.9000000;85.9000000;2
20141101;003500;85.9400000;85.9600000;85.9400000;85.9600000;5
20141103;020500;86.2800000;86.3300000;86.2600000;86.2900000;13
20141103;021000;86.3400000;86.3700000;86.2800000;86.2900000;38
20141103;021500;86.2800000;86.2800000;86.2800000;86.2800000;1
20141103;022000;86.3100000;86.3100000;86.3100000;86.3100000;1
20141103;031000;86.3900000;86.4100000;86.3900000;86.4100000;2
20141103;031500;86.4300000;86.4300000;86.4000000;86.4000000;2
20141103;032000;86.4400000;86.4400000;86.4400000;86.4400000;3
20141103;032500;86.4000000;86.4000000;86.4000000;86.4000000;1
20141103;033500;86.3700000;86.3900000;86.3700000;86.3700000;6
20141103;034500;86.3700000;86.3900000;86.3700000;86.3900000;2
20141103;035000;86.3700000;86.3700000;86.3700000;86.3700000;2
20141103;035500;86.3300000;86.3300000;86.3300000;86.3300000;10
20141103;040000;86.3100000;86.3100000;86.3100000;86.3100000;1
20141103;040500;86.4200000;86.4600000;86.4200000;86.4200000;10
20141103;041000;86.4200000;86.5100000;86.4200000;86.4900000;10
20141103;041500;86.4800000;86.5300000;86.4700000;86.5300000;9
20141103;042000;86.4800000;86.4800000;86.4700000;86.4700000;3
20141103;042500;86.4800000;86.4800000;86.4800000;86.4800000;2
20141103;043500;86.4100000;86.4100000;86.3800000;86.3800000;13
20141103;045000;86.3700000;86.3900000;86.3700000;86.3900000;2
20141103;045500;86.4300000;86.4400000;86.4300000;86.4400000;10
20141103;050000;86.4000000;86.4000000;86.4000000;86.4000000;2
20141103;051000;86.3600000;86.3600000;86.3500000;86.3500000;4
20141103;052000;86.3700000;86.3700000;86.3700000;86.3700000;3
20141103;052500;86.3800000;86.3800000;86.3800000;86.3800000;1
20141103;053500;86.3200000;86.3200000;86.3200000;86.3200000;1
20141103;054000;86.3000000;86.3000000;86.3000000;86.3000000;10
20141103;054500;86.2900000;86.3200000;86.2700000;86.2800000;22
20141103;060500;86.2700000;86.2700000;86.2300000;86.2300000;31
20141103;062000;86.2300000;86.2300000;86.2300000;86.2300000;1
20141103;062500;86.2400000;86.2400000;86.2400000;86.2400000;1
20141103;063500;86.2000000;86.2000000;86.2000000;86.2000000;10
20141103;064000;86.2000000;86.2000000;86.2000000;86.2000000;1
20141103;065000;86.1900000;86.1900000;86.1900000;86.1900000;1
20141103;065500;86.2000000;86.2000000;86.2000000;86.2000000;1
20141103;070500;86.1900000;86.1900000;86.1900000;86.1900000;1
20141103;072500;86.1400000;86.1400000;86.1400000;86.1400000;1
20141103;073000;86.1500000;86.1500000;86.1200000;86.1200000;3
20141103;073500;86.1200000;86.1200000;86.1200000;86.1200000;2
20141103;080000;86.1400000;86.1400000;86.1400000;86.1400000;1
20141103;081500;86.1300000;86.1300000;86.1100000;86.1100000;4
20141103;083500;86.1000000;86.1000000;86.1000000;86.1000000;1
20141103;085000;86.1100000;86.1100000;86.0900000;86.0900000;2
20141103;090000;86.0800000;86.0800000;86.0800000;86.0800000;2
20141103;091500;86.0700000;86.0700000;86.0700000;86.0700000;1
20141103;092500;86.0400000;86.0400000;86.0300000;86.0300000;5
20141103;093000;86.0100000;86.0100000;86.0000000;86.0000000;45
20141103;093500;86.0000000;86.0200000;86.0000000;86.0200000;24
20141103;094000;86.0300000;86.0300000;86.0000000;86.0000000;89
20141103;094500;86.0200000;86.0200000;86.0100000;86.0100000;2
20141103;095000;86.0200000;86.0200000;85.9900000;85.9900000;15
20141103;095500;85.9800000;85.9800000;85.9700000;85.9800000;10
20141103;100000;85.9800000;86.0000000;85.9800000;86.0000000;20
20141103;100500;86.0000000;86.0800000;86.0000000;86.0800000;22
20141103;101000;86.0800000;86.1100000;86.0600000;86.0600000;4
20141103;101500;86.0700000;86.0800000;86.0700000;86.0800000;12
20141103;102000;86.1200000;86.1600000;86.1100000;86.1100000;21
20141103;102500;86.1700000;86.1700000;86.1300000;86.1300000;3
20141103;103000;86.1200000;86.1200000;86.0900000;86.0900000;8
20141103;103500;86.1200000;86.1200000;86.1200000;86.1200000;1
20141103;104000;86.1300000;86.1300000;86.0500000;86.0500000;9
20141103;104500;86.1000000;86.1000000;86.0500000;86.0500000;45
20141103;105000;86.0500000;86.0500000;85.9100000;85.9100000;45
20141103;105500;85.9000000;85.9800000;85.8800000;85.9400000;39
20141103;110000;85.9500000;85.9500000;85.8300000;85.9400000;97
20141103;110500;85.9300000;86.0500000;85.9200000;86.0500000;144
20141103;111000;86.0600000;86.1000000;85.9500000;86.0100000;252
20141103;111500;86.0000000;86.0800000;85.9900000;86.0800000;57
20141103;112000;86.0800000;86.0800000;85.9100000;85.9200000;130
20141103;112500;85.9300000;85.9300000;85.8300000;85.8500000;114
20141103;113000;85.8500000;85.8500000;85.6600000;85.6800000;691
20141103;113500;85.6800000;85.7500000;85.6800000;85.7200000;268
20141103;114000;85.7200000;85.7300000;85.7000000;85.7100000;184
20141103;114500;85.7200000;85.7800000;85.7100000;85.7800000;105
20141103;115000;85.7800000;85.8100000;85.7800000;85.8000000;76
20141103;115500;85.8000000;85.8100000;85.7400000;85.8100000;152
20141103;120000;85.8300000;85.9200000;85.8300000;85.9000000;95
20141103;120500;85.9000000;85.9700000;85.8600000;85.8600000;176
20141103;121000;85.8600000;86.0100000;85.8600000;86.0100000;123
20141103;121500;86.0400000;86.2100000;86.0200000;86.2100000;290
20141103;122000;86.1900000;86.2700000;86.0600000;86.0600000;303
20141103;122500;86.1100000;86.1500000;86.0200000;86.0500000;142
20141103;123000;86.0600000;86.0800000;86.0400000;86.0600000;41
20141103;123500;86.0700000;86.1800000;86.0500000;86.1700000;119
20141103;124000;86.1800000;86.2300000;86.1400000;86.1600000;108
20141103;124500;86.1500000;86.2500000;86.1500000;86.2500000;83
20141103;125000;86.2500000;86.2800000;86.2400000;86.2800000;83
20141103;125500;86.2800000;86.5500000;86.2700000;86.4700000;594
20141103;130000;86.4600000;86.5300000;86.4100000;86.4600000;73
20141103;130500;86.4700000;86.5100000;86.4000000;86.4800000;127
20141103;131000;86.5100000;86.6400000;86.5100000;86.6300000;351
20141103;131500;86.6300000;86.7100000;86.6200000;86.6300000;199
20141103;132000;86.6300000;86.6300000;86.5300000;86.5800000;56
20141103;132500;86.6300000;86.6600000;86.5400000;86.5700000;96
20141103;133000;86.5700000;86.5800000;86.5200000;86.5600000;70
20141103;133500;86.5600000;86.5600000;86.4400000;86.4800000;113
20141103;134000;86.4500000;86.5400000;86.4300000;86.4600000;44
20141103;134500;86.4900000;86.4900000;86.4300000;86.4400000;6
20141103;135000;86.4400000;86.4900000;86.4300000;86.4800000;48
20141103;135500;86.4900000;86.4900000;86.3600000;86.4400000;105
20141103;140000;86.4500000;86.5100000;86.4400000;86.5000000;117
20141103;140500;86.5000000;86.5000000;86.4300000;86.4500000;40
20141103;141000;86.3800000;86.3900000;86.3400000;86.3500000;38
20141103;141500;86.3300000;86.3300000;86.2100000;86.2500000;242
20141103;142000;86.2400000;86.5100000;86.2400000;86.4900000;141
20141103;142500;86.4500000;86.4600000;86.3900000;86.4200000;39
20141103;143000;86.3900000;86.4000000;86.3600000;86.4000000;35
20141103;143500;86.3600000;86.4000000;86.3400000;86.3400000;20
20141103;144000;86.3100000;86.3400000;86.2700000;86.3300000;70
20141103;144500;86.3600000;86.4800000;86.3500000;86.4300000;176
20141103;145000;86.4400000;86.4700000;86.4400000;86.4600000;28
20141103;145500;86.4800000;86.4800000;86.4200000;86.4600000;46
20141103;150000;86.4800000;86.4900000;86.4600000;86.4900000;31
20141103;150500;86.5200000;86.5200000;86.4300000;86.4300000;72
20141103;151000;86.4300000;86.4400000;86.4100000;86.4300000;30
20141103;151500;86.4200000;86.5300000;86.4200000;86.4800000;82
20141103;152000;86.4700000;86.6100000;86.4700000;86.5800000;183
20141103;152500;86.5800000;86.6900000;86.5300000;86.6800000;223
20141103;153000;86.6700000;86.6700000;86.4900000;86.5200000;98
20141103;153500;86.5300000;86.5300000;86.4700000;86.5200000;48
20141103;154000;86.5000000;86.5000000;86.4500000;86.4500000;52
20141103;154500;86.4700000;86.5200000;86.3800000;86.5100000;155
20141103;155000;86.5300000;86.5500000;86.5100000;86.5200000;44
20141103;155500;86.5100000;86.5400000;86.4200000;86.5200000;119
20141103;160000;86.5300000;86.5400000;86.4700000;86.4800000;50
20141103;160500;86.4500000;86.4700000;86.3800000;86.4200000;122
20141103;161000;86.4200000;86.4300000;86.3100000;86.3700000;157
20141103;161500;86.3700000;86.4600000;86.3700000;86.4400000;48
20141103;162000;86.4000000;86.4600000;86.4000000;86.4400000;81
20141103;162500;86.4300000;86.5100000;86.4300000;86.5100000;42
20141103;163000;86.5200000;86.5300000;86.4900000;86.5300000;53
20141103;163500;86.5000000;86.5300000;86.4800000;86.5300000;26
20141103;164000;86.5300000;86.5600000;86.5000000;86.5500000;140
20141103;164500;86.5300000;86.5700000;86.4000000;86.4100000;142
20141103;165000;86.4100000;86.4500000;86.3700000;86.4300000;125
20141103;165500;86.4200000;86.5700000;86.4200000;86.5600000;71
20141103;170000;86.5400000;86.5600000;86.4600000;86.5000000;138
20141103;170500;86.4900000;86.5400000;86.4200000;86.4200000;219
20141103;171000;86.4400000;86.4400000;86.3100000;86.3300000;165
20141103;171500;86.3200000;86.3200000;86.0300000;86.0700000;560
20141103;172000;86.0700000;86.0700000;85.9400000;85.9900000;1087
20141103;172500;85.9900000;86.0000000;85.8700000;85.9000000;360
20141103;173000;85.8900000;85.9800000;85.8600000;85.9800000;236
20141103;173500;85.9800000;85.9800000;85.8600000;85.9200000;243
20141103;174000;85.9100000;85.9300000;85.6000000;85.6800000;1174
20141103;174500;85.6900000;85.8200000;85.6600000;85.7700000;465
20141103;175000;85.7800000;85.7900000;85.5500000;85.5600000;375
20141103;175500;85.5700000;85.7400000;85.5600000;85.6900000;199
20141103;180000;85.7100000;85.7300000;85.5700000;85.5700000;222
20141103;180500;85.5600000;85.6500000;85.4500000;85.4800000;639
20141103;181000;85.4800000;85.7000000;85.4800000;85.6800000;288
20141103;181500;85.6800000;85.7200000;85.5200000;85.6300000;402
20141103;182000;85.6300000;85.8300000;85.6000000;85.8200000;281
20141103;182500;85.8200000;85.8800000;85.7700000;85.8000000;197
20141103;183000;85.7900000;85.8500000;85.7500000;85.8300000;80
20141103;183500;85.8200000;86.0000000;85.8000000;85.9600000;226
20141103;184000;85.9700000;86.1100000;85.9600000;85.9800000;396
20141103;184500;86.0000000;86.0200000;85.9200000;85.9500000;137
20141103;185000;85.9200000;86.0500000;85.9000000;85.9900000;384
20141103;185500;85.9900000;86.2000000;85.9300000;86.1800000;359
20141103;190000;86.1600000;86.2000000;86.0000000;86.0100000;315
20141103;190500;86.0200000;86.0500000;85.8800000;85.9400000;184
20141103;191000;85.9000000;85.9400000;85.7400000;85.7500000;268
20141103;191500;85.7600000;85.8600000;85.6900000;85.7900000;326
20141103;192000;85.8000000;85.8900000;85.7400000;85.8900000;501
20141103;192500;85.9000000;85.9600000;85.7900000;85.8000000;462
20141103;193000;85.8200000;85.8300000;85.6600000;85.7100000;1239
20141103;193500;85.7000000;85.9400000;85.6900000;85.8600000;579
20141103;194000;85.8500000;85.8600000;85.7400000;85.8200000;293
20141103;194500;85.8000000;85.9300000;85.7600000;85.8900000;258
20141103;195000;85.9000000;86.0300000;85.8200000;86.0200000;214
20141103;195500;86.0300000;86.0500000;85.8800000;85.9400000;295
20141103;200000;85.9700000;85.9800000;85.8400000;85.8600000;152
20141103;200500;85.9000000;85.9200000;85.8100000;85.8200000;271
20141103;201000;85.8000000;85.8600000;85.7600000;85.8600000;137
20141103;201500;85.8600000;85.9000000;85.8600000;85.8700000;54
20141103;202000;85.8800000;85.8900000;85.7300000;85.8000000;236
20141103;202500;85.8100000;85.8400000;85.7500000;85.7800000;30
20141103;203000;85.8200000;85.9300000;85.7900000;85.8600000;108
20141103;203500;85.8400000;85.9500000;85.8400000;85.9100000;115
20141103;204000;85.9200000;86.2100000;85.9200000;86.1100000;349
