<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20141103;100500;43.1500000;43.3350000;43.1300000;43.3350000;29076000
20141103;101000;43.3865000;43.4600000;43.3205000;43.4200000;15388000
20141103;101500;43.3780000;43.3890000;43.3165000;43.3855000;11288000
20141103;102000;43.4000000;43.4160000;43.3700000;43.4160000;6011000
20141103;102500;43.3855000;43.4500000;43.3855000;43.4500000;1452000
20141103;103000;43.4585000;43.5930000;43.4585000;43.5930000;13164000
20141103;103500;43.5760000;43.5870000;43.5370000;43.5790000;3462000
20141103;104000;43.5790000;43.5790000;43.5500000;43.5640000;5257000
20141103;104500;43.5505000;43.5665000;43.4570000;43.5615000;24391000
20141103;105000;43.5570000;43.5570000;43.4535000;43.4945000;8111000
20141103;105500;43.5015000;43.5190000;43.5000000;43.5065000;4492000
20141103;110000;43.5180000;43.5180000;43.5000000;43.5140000;2215000
20141103;110500;43.5065000;43.5690000;43.5065000;43.5690000;3515000
20141103;111000;43.5700000;43.6370000;43.5305000;43.5480000;16000000
20141103;111500;43.5555000;43.5565000;43.4910000;43.4910000;8285000
20141103;112000;43.4920000;43.5095000;43.4885000;43.5020000;1475000
20141103;112500;43.5020000;43.5225000;43.5000000;43.5070000;5130000
20141103;113000;43.5100000;43.5475000;43.5010000;43.5410000;1738000
20141103;113500;43.5400000;43.5400000;43.3600000;43.4095000;26533000
20141103;114000;43.3905000;43.3905000;43.3450000;43.3750000;5623000
20141103;114500;43.3820000;43.3980000;43.3555000;43.3640000;3681000
20141103;115000;43.3885000;43.4175000;43.3600000;43.3755000;6654000
20141103;115500;43.3885000;43.3890000;43.3570000;43.3725000;722000
20141103;120000;43.3715000;43.4035000;43.3715000;43.4005000;1103000
20141103;120500;43.4090000;43.4090000;43.3495000;43.3650000;2512000
20141103;121000;43.3830000;43.4000000;43.3685000;43.4000000;446000
20141103;121500;43.3835000;43.3835000;43.3800000;43.3805000;364000
20141103;122000;43.3800000;43.3940000;43.3795000;43.3815000;1032000
20141103;122500;43.3905000;43.4055000;43.3860000;43.3895000;2125000
20141103;123000;43.3975000;43.4070000;43.3775000;43.3775000;4254000
20141103;123500;43.3690000;43.3690000;43.3070000;43.3450000;2203000
20141103;124500;43.3820000;43.3820000;43.3615000;43.3615000;500000
20141103;125000;43.3500000;43.3500000;43.3400000;43.3500000;640000
20141103;125500;43.3540000;43.3540000;43.3500000;43.3500000;150000
20141103;130000;43.3590000;43.3720000;43.3590000;43.3655000;1539000
20141103;130500;43.3580000;43.3700000;43.3510000;43.3700000;502000
20141103;131000;43.3510000;43.3625000;43.3400000;43.3625000;5161000
20141103;131500;43.3485000;43.3485000;43.3400000;43.3400000;217000
20141103;132000;43.3360000;43.3465000;43.3285000;43.3465000;4170000
20141103;132500;43.3470000;43.3575000;43.3345000;43.3575000;2204000
20141103;133000;43.3600000;43.3600000;43.3070000;43.3075000;1112000
20141103;133500;43.3055000;43.3385000;43.3000000;43.3295000;1876000
20141103;134000;43.3095000;43.3200000;43.2755000;43.2905000;7274000
20141103;134500;43.2975000;43.3100000;43.2935000;43.3000000;4423000
20141103;135000;43.3005000;43.3240000;43.2970000;43.2970000;1013000
20141103;135500;43.3090000;43.3095000;43.3075000;43.3095000;243000
20141103;140000;43.3100000;43.3195000;43.3100000;43.3195000;255000
20141103;140500;43.3255000;43.3335000;43.3255000;43.3335000;50000
20141103;141000;43.3590000;43.4190000;43.3590000;43.4190000;3088000
20141103;141500;43.4075000;43.4190000;43.3920000;43.4080000;3711000
20141103;142000;43.3895000;43.4000000;43.3895000;43.4000000;550000
20141103;142500;43.3975000;43.3985000;43.3975000;43.3985000;155000
20141103;143000;43.3775000;43.4225000;43.3775000;43.4050000;2132000
20141103;143500;43.4020000;43.4190000;43.4015000;43.4110000;995000
20141103;144000;43.4110000;43.4190000;43.4110000;43.4190000;346000
20141103;144500;43.3985000;43.3985000;43.3985000;43.3985000;10000
20141103;145000;43.4090000;43.4220000;43.4090000;43.4140000;6214000
20141103;145500;43.4190000;43.4190000;43.3985000;43.3985000;115000
20141103;150000;43.4000000;43.4000000;43.3810000;43.3810000;313000
20141103;150500;43.3470000;43.3765000;43.3250000;43.3550000;2795000
20141103;151000;43.3780000;43.3950000;43.3780000;43.3950000;247000
20141103;151500;43.3990000;43.4130000;43.3990000;43.4130000;429000
20141103;152000;43.4130000;43.4190000;43.4110000;43.4160000;1301000
20141103;152500;43.4160000;43.4160000;43.4000000;43.4000000;1193000
20141103;153000;43.3940000;43.4010000;43.3925000;43.3935000;433000
20141103;153500;43.3980000;43.3980000;43.3835000;43.3870000;78000
20141103;154000;43.4000000;43.4000000;43.3860000;43.3860000;1020000
20141103;154500;43.3880000;43.4000000;43.3695000;43.3695000;54000
20141103;155000;43.3475000;43.3680000;43.3440000;43.3675000;680000
20141103;155500;43.3470000;43.3600000;43.3150000;43.3275000;612000
20141103;160000;43.3200000;43.3500000;43.3190000;43.3255000;1889000
20141103;160500;43.3340000;43.3340000;43.2000000;43.2945000;2560000
20141103;161000;43.2945000;43.2945000;43.2630000;43.2795000;884000
20141103;161500;43.3130000;43.3240000;43.2990000;43.3170000;308000
20141103;162000;43.3215000;43.3665000;43.3215000;43.3600000;2174000
20141103;162500;43.3740000;43.3770000;43.3600000;43.3600000;471000
20141103;163000;43.3720000;43.3795000;43.3600000;43.3790000;3555000
20141103;163500;43.3625000;43.3650000;43.3625000;43.3625000;300000
20141103;164000;43.3600000;43.3860000;43.3600000;43.3860000;592000
20141103;165000;43.3770000;43.3880000;43.3770000;43.3880000;453000
20141103;165500;43.3790000;43.3800000;43.3790000;43.3800000;26000
20141103;170000;43.3880000;43.3880000;43.3880000;43.3880000;10000
20141103;170500;43.3885000;43.3900000;43.3850000;43.3900000;8175000
20141103;171000;43.3865000;43.4100000;43.3865000;43.4100000;265000
20141103;171500;43.4100000;43.4220000;43.4100000;43.4150000;1515000
20141103;172000;43.4035000;43.4035000;43.4035000;43.4035000;5000
20141103;172500;43.4020000;43.4035000;43.4020000;43.4035000;201000
20141103;173000;43.4035000;43.4190000;43.4035000;43.4190000;780000
20141103;173500;43.4190000;43.4215000;43.4190000;43.4190000;118000
20141103;174000;43.4185000;43.4310000;43.4085000;43.4100000;3815000
20141103;174500;43.4280000;43.4305000;43.3980000;43.4305000;2877000
20141103;175000;43.4310000;43.4580000;43.4260000;43.4395000;8424000
20141103;175500;43.4585000;43.4640000;43.4325000;43.4420000;4500000
20141103;180000;43.4605000;43.5090000;43.4295000;43.5090000;20633000
20141103;180500;43.4990000;43.5990000;43.4615000;43.5275000;23503000
20141103;181000;43.5450000;43.5990000;43.5160000;43.5570000;12883000
20141103;181500;43.5630000;43.5630000;43.5130000;43.5595000;1505000
20141103;182000;43.5400000;43.5400000;43.4980000;43.4980000;1022000
20141103;182500;43.5080000;43.5695000;43.5080000;43.5695000;281000
20141103;183000;43.5540000;43.5740000;43.5535000;43.5740000;685000
20141103;183500;43.5675000;43.5790000;43.5480000;43.5585000;868000
20141103;184000;43.5510000;43.5585000;43.5300000;43.5300000;1038000
20141103;184500;43.5325000;43.5745000;43.5325000;43.5700000;2055000
20141103;185000;43.5680000;43.5700000;43.5625000;43.5625000;1760000
20141103;185500;43.5630000;43.5730000;43.5630000;43.5630000;1508000
20141103;190000;43.5630000;43.5900000;43.5630000;43.5850000;301000
20141103;190500;43.5900000;43.5990000;43.5810000;43.5840000;913000
20141103;191000;43.5800000;43.5990000;43.5705000;43.5900000;2015000
20141103;191500;43.5920000;43.5925000;43.5890000;43.5895000;400000
20141103;192000;43.5935000;43.5935000;43.5660000;43.5695000;2700000
20141103;192500;43.5625000;43.5625000;43.4970000;43.4970000;404000
20141103;194000;43.5690000;43.5700000;43.5630000;43.5700000;8056000
20141103;195500;43.5495000;43.5495000;43.5495000;43.5495000;97000
20141103;200000;43.5185000;43.5185000;43.4670000;43.4670000;687000
20141103;201000;43.5500000;43.5700000;43.5500000;43.5700000;2750000
20141103;204000;43.5660000;43.5700000;43.5660000;43.5700000;2497000
20141103;204500;43.5750000;43.5765000;43.5750000;43.5765000;2000
20141103;210500;43.5180000;43.5180000;43.4820000;43.4820000;153000
20141103;211000;43.4910000;43.4910000;43.4910000;43.4910000;17000
20141103;220000;43.5600000;43.5600000;43.5600000;43.5600000;2000
20141103;220500;43.5725000;43.5730000;43.5725000;43.5730000;40000
20141103;222000;43.5795000;43.5795000;43.5795000;43.5795000;20000
