<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20150428;130000;52790.0000000;52932.0000000;52779.0000000;52882.0000000;22727
20150428;130500;52882.0000000;53025.0000000;52870.0000000;52873.0000000;27016
20150428;131000;52873.0000000;52900.0000000;52815.0000000;52825.0000000;14852
20150428;131500;52822.0000000;52892.0000000;52755.0000000;52859.0000000;12577
20150428;132000;52854.0000000;52900.0000000;52816.0000000;52856.0000000;9535
20150428;132500;52854.0000000;52911.0000000;52850.0000000;52861.0000000;6416
20150428;133000;52865.0000000;52893.0000000;52830.0000000;52881.0000000;6780
20150428;133500;52881.0000000;52926.0000000;52791.0000000;52808.0000000;13252
20150428;134000;52808.0000000;52861.0000000;52796.0000000;52839.0000000;6717
20150428;134500;52839.0000000;52844.0000000;52752.0000000;52803.0000000;14840
20150428;135000;52803.0000000;52860.0000000;52797.0000000;52835.0000000;10848
20150428;135500;52836.0000000;52852.0000000;52777.0000000;52795.0000000;6532
20150428;140000;52791.0000000;52812.0000000;52770.0000000;52807.0000000;5590
20150428;140500;52807.0000000;52823.0000000;52721.0000000;52735.0000000;14265
20150428;141000;52732.0000000;52924.0000000;52680.0000000;52895.0000000;32492
20150428;141500;52897.0000000;53057.0000000;52890.0000000;52993.0000000;37740
20150428;142000;52991.0000000;53065.0000000;52943.0000000;52990.0000000;21479
20150428;142500;52990.0000000;53055.0000000;52986.0000000;53012.0000000;15358
20150428;143000;53010.0000000;53036.0000000;52852.0000000;52883.0000000;22109
20150428;143500;52879.0000000;53050.0000000;52869.0000000;53027.0000000;29096
20150428;144000;53030.0000000;53050.0000000;52986.0000000;53039.0000000;25091
20150428;144500;53039.0000000;53060.0000000;52965.0000000;52984.0000000;16327
20150428;145000;52986.0000000;53100.0000000;52972.0000000;53067.0000000;18246
20150428;145500;53063.0000000;53073.0000000;53033.0000000;53048.0000000;9002
20150428;150000;53048.0000000;53093.0000000;53035.0000000;53074.0000000;16339
20150428;150500;53074.0000000;53117.0000000;53032.0000000;53079.0000000;21662
20150428;151000;53080.0000000;53140.0000000;53044.0000000;53123.0000000;26666
20150428;151500;53122.0000000;53136.0000000;53044.0000000;53082.0000000;18816
20150428;152000;53083.0000000;53086.0000000;52908.0000000;52952.0000000;31514
20150428;152500;52953.0000000;53081.0000000;52916.0000000;53068.0000000;34321
20150428;153000;53063.0000000;53246.0000000;53056.0000000;53122.0000000;32227
20150428;153500;53128.0000000;53210.0000000;53103.0000000;53209.0000000;13927
20150428;154000;53205.0000000;53345.0000000;53200.0000000;53201.0000000;42114
20150428;154500;53207.0000000;53230.0000000;53166.0000000;53202.0000000;20846
20150428;155000;53202.0000000;53237.0000000;53176.0000000;53199.0000000;10897
20150428;155500;53203.0000000;53288.0000000;53199.0000000;53252.0000000;18100
20150428;160000;53252.0000000;53270.0000000;53171.0000000;53213.0000000;25080
20150428;160500;53212.0000000;53218.0000000;53101.0000000;53197.0000000;24026
20150428;161000;53198.0000000;53239.0000000;53073.0000000;53146.0000000;19719
20150428;161500;53148.0000000;53164.0000000;52964.0000000;53031.0000000;23998
20150428;162000;53030.0000000;53107.0000000;52986.0000000;53078.0000000;22663
20150428;162500;53079.0000000;53097.0000000;52924.0000000;53013.0000000;18741
20150428;163000;53013.0000000;53054.0000000;52942.0000000;52970.0000000;20145
20150428;163500;52971.0000000;53036.0000000;52956.0000000;53003.0000000;9239
20150428;164000;52999.0000000;53007.0000000;52965.0000000;52981.0000000;8361
20150428;164500;52981.0000000;52987.0000000;52860.0000000;52902.0000000;27718
20150428;165000;52901.0000000;53009.0000000;52866.0000000;52982.0000000;29926
20150428;165500;52982.0000000;53030.0000000;52947.0000000;52982.0000000;14475
20150428;170000;52986.0000000;53028.0000000;52918.0000000;52930.0000000;12003
20150428;170500;52930.0000000;52935.0000000;52655.0000000;52687.0000000;51136
