<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20160504;100000;121.5000000;122.3900000;121.2600000;122.0500000;3486950
20160504;100500;122.0500000;122.0600000;121.6100000;121.8600000;1787610
20160504;101000;121.8100000;122.1900000;121.7700000;122.0600000;1296750
20160504;101500;122.0500000;122.0700000;121.6300000;121.8000000;1559160
20160504;102000;121.7500000;121.8400000;121.5000000;121.6000000;1144330
20160504;102500;121.5900000;121.8700000;121.4000000;121.7900000;1414760
20160504;103000;121.8100000;121.9000000;121.5300000;121.7700000;344950
20160504;103500;121.8100000;122.0000000;121.6100000;121.9300000;891060
20160504;104000;121.9200000;121.9400000;121.5800000;121.6400000;671310
20160504;104500;121.6600000;121.9000000;121.6300000;121.7300000;553650
20160504;105000;121.7100000;121.7400000;121.5500000;121.6000000;621580
20160504;105500;121.5900000;121.7000000;121.2000000;121.2600000;1538750
20160504;110000;121.2800000;121.3500000;121.0000000;121.0300000;1479250
20160504;110500;121.0300000;121.3900000;121.0300000;121.1600000;655510
20160504;111000;121.1300000;121.1800000;120.7000000;120.7900000;1549110
20160504;111500;120.7900000;120.9000000;120.7000000;120.7900000;643500
20160504;112000;120.7600000;120.8700000;120.5500000;120.6300000;975720
20160504;112500;120.6300000;120.6500000;120.2200000;120.2600000;1846540
20160504;113000;120.2600000;120.5800000;120.2500000;120.4000000;718990
20160504;113500;120.3800000;120.6500000;120.3500000;120.5400000;688900
20160504;114000;120.5300000;120.9500000;120.4100000;120.4700000;1315570
20160504;114500;120.4700000;120.7000000;120.4700000;120.5000000;344530
20160504;115000;120.5100000;120.5500000;120.3800000;120.5000000;603910
20160504;115500;120.4400000;120.4600000;120.1100000;120.1200000;1249450
20160504;120000;120.1200000;120.2900000;119.9200000;120.0200000;2975860
20160504;120500;120.0500000;120.1300000;119.8200000;120.0400000;1049400
20160504;121000;120.0400000;120.2800000;120.0400000;120.2200000;570830
20160504;121500;120.1800000;120.4000000;120.0100000;120.3300000;402350
20160504;122000;120.3000000;120.6500000;120.2400000;120.3800000;834190
20160504;122500;120.3700000;120.5000000;120.3000000;120.4500000;212930
20160504;123000;120.4500000;120.4700000;120.0700000;120.1400000;236480
20160504;123500;120.1400000;120.2200000;120.1000000;120.1500000;111920
20160504;124000;120.1300000;120.2100000;119.8000000;119.8500000;1545520
20160504;124500;119.8000000;120.3400000;119.7300000;120.3200000;1197130
20160504;125000;120.3200000;120.3200000;119.9100000;119.9700000;322270
20160504;125500;119.9300000;119.9500000;119.7300000;119.8200000;1004840
20160504;130000;119.7900000;119.9900000;119.6200000;119.9800000;1023480
20160504;130500;119.9400000;120.1700000;119.9000000;120.0000000;229550
20160504;131000;120.0000000;120.1300000;119.9100000;120.0600000;200020
20160504;131500;120.0200000;120.2900000;120.0200000;120.2300000;253070
20160504;132000;120.2300000;120.4000000;120.0900000;120.3700000;374390
20160504;132500;120.3700000;120.4500000;120.0600000;120.0900000;455820
20160504;133000;120.0900000;120.1400000;119.8000000;119.9200000;779640
20160504;133500;119.8700000;119.9900000;119.7600000;119.8500000;304380
20160504;134000;119.8500000;120.1100000;119.8500000;119.9900000;181800
20160504;134500;119.9900000;120.0300000;119.8500000;119.9800000;92920
20160504;135000;119.9300000;119.9300000;119.7500000;119.8300000;408890
20160504;135500;119.8300000;119.9700000;119.7700000;119.9300000;420580
20160504;140000;119.8900000;119.9700000;119.8500000;119.9200000;128330
20160504;140500;119.9000000;120.0000000;119.8000000;119.8100000;865610
20160504;141000;119.8300000;119.9400000;119.8000000;119.8200000;331160
20160504;141500;119.8200000;120.2700000;119.8200000;120.0600000;1394530
20160504;142000;120.0000000;120.1900000;119.8900000;120.0300000;514340
20160504;142500;120.0100000;120.1900000;119.9500000;120.0200000;331530
20160504;143000;120.0200000;120.0600000;119.9200000;120.0000000;290260
20160504;143500;119.9500000;120.0100000;119.8600000;119.9300000;452660
20160504;144000;119.8800000;120.0000000;119.8100000;119.8300000;481840
20160504;144500;119.8300000;119.8300000;119.5000000;119.5500000;3240340
20160504;145000;119.5500000;119.5900000;119.3100000;119.3600000;1926920
20160504;145500;119.3600000;119.6700000;119.3300000;119.5100000;1202040
20160504;150000;119.5300000;119.5800000;119.3800000;119.4300000;914210
20160504;150500;119.4600000;119.6000000;119.4400000;119.5900000;159620
20160504;151000;119.5700000;119.6900000;119.5300000;119.5300000;221790
20160504;151500;119.5200000;119.6100000;119.4000000;119.5100000;333870
20160504;152000;119.5100000;119.6600000;119.5000000;119.5600000;275610
20160504;152500;119.5600000;119.6400000;119.5200000;119.6000000;226440
20160504;153000;119.6000000;119.6500000;119.5200000;119.6500000;196530
20160504;153500;119.6100000;119.8200000;119.6000000;119.6600000;537070
