<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20170103;100000;62111.0000000;62111.0000000;61656.0000000;61920.0000000;163974
20170103;110000;61919.0000000;62140.0000000;61871.0000000;61884.0000000;133764
20170103;120000;61884.0000000;61938.0000000;61604.0000000;61702.0000000;218684
20170103;130000;61704.0000000;61742.0000000;61490.0000000;61521.0000000;120274
20170103;140000;61522.0000000;61569.0000000;61422.0000000;61475.0000000;97344
20170103;150000;61474.0000000;61532.0000000;61342.0000000;61391.0000000;92764
20170103;160000;61390.0000000;61537.0000000;61264.0000000;61471.0000000;122739
20170103;170000;61476.0000000;61483.0000000;61202.0000000;61276.0000000;123902
20170103;180000;61279.0000000;61420.0000000;61262.0000000;61417.0000000;97802
20170103;190000;61420.0000000;61840.0000000;61420.0000000;61727.0000000;227010
20170103;200000;61729.0000000;61910.0000000;61691.0000000;61869.0000000;82742
20170103;210000;61872.0000000;61900.0000000;61770.0000000;61842.0000000;47473
20170103;220000;61842.0000000;61964.0000000;61740.0000000;61876.0000000;49758
20170103;230000;61877.0000000;61900.0000000;61732.0000000;61751.0000000;30293
20170104;100000;61764.0000000;62098.0000000;61670.0000000;61873.0000000;204832
20170104;110000;61874.0000000;61909.0000000;61453.0000000;61635.0000000;240625
20170104;120000;61637.0000000;61789.0000000;61582.0000000;61727.0000000;92569
20170104;130000;61726.0000000;62051.0000000;61700.0000000;62004.0000000;135848
20170104;140000;61990.0000000;61990.0000000;61660.0000000;61707.0000000;133291
20170104;150000;61700.0000000;61732.0000000;61620.0000000;61696.0000000;67803
20170104;160000;61696.0000000;61766.0000000;61470.0000000;61470.0000000;143622
20170104;170000;61474.0000000;61549.0000000;61382.0000000;61406.0000000;159392
20170104;180000;61401.0000000;61479.0000000;61343.0000000;61448.0000000;87267
20170104;190000;61433.0000000;61450.0000000;61300.0000000;61336.0000000;78604
20170104;200000;61332.0000000;61377.0000000;61226.0000000;61275.0000000;46718
20170104;210000;61273.0000000;61292.0000000;61231.0000000;61250.0000000;23578
20170104;220000;61255.0000000;61325.0000000;61032.0000000;61158.0000000;209725
20170104;230000;61158.0000000;61300.0000000;61150.0000000;61291.0000000;35425
20170105;100000;61252.0000000;61291.0000000;60830.0000000;60863.0000000;345463
20170105;110000;60863.0000000;61150.0000000;60841.0000000;60992.0000000;178308
20170105;120000;60997.0000000;61273.0000000;60968.0000000;61134.0000000;127804
