<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20160801;100000;43.4200000;43.6900000;43.4200000;43.6100000;5441
20160801;100100;43.6200000;43.6300000;43.6000000;43.6200000;1939
20160801;100200;43.6200000;43.6600000;43.6100000;43.6600000;1400
20160801;100300;43.6600000;43.6600000;43.6100000;43.6400000;2755
20160801;100400;43.6400000;43.7000000;43.6300000;43.7000000;2672
20160801;100500;43.7000000;43.7000000;43.6300000;43.6400000;1349
20160801;100600;43.6400000;43.6500000;43.6300000;43.6300000;304
20160801;100700;43.6400000;43.6400000;43.6300000;43.6400000;2005
20160801;100800;43.6300000;43.6300000;43.5900000;43.5900000;2458
20160801;100900;43.6100000;43.6100000;43.4800000;43.4900000;9293
20160801;101000;43.4800000;43.5200000;43.4700000;43.5200000;4692
20160801;101100;43.5100000;43.5200000;43.4900000;43.4900000;1281
20160801;101200;43.4900000;43.5500000;43.4800000;43.5500000;3187
20160801;101300;43.5400000;43.6000000;43.5300000;43.5300000;4020
20160801;101400;43.5300000;43.5300000;43.5000000;43.5000000;2504
20160801;101500;43.5000000;43.5200000;43.5000000;43.5100000;633
20160801;101600;43.5100000;43.5300000;43.5000000;43.5000000;508
20160801;101700;43.5100000;43.5300000;43.5100000;43.5200000;2053
20160801;101800;43.5200000;43.5300000;43.5100000;43.5300000;2113
20160801;101900;43.5100000;43.5300000;43.5100000;43.5200000;809
20160801;102000;43.5200000;43.5300000;43.5000000;43.5300000;1889
20160801;102100;43.5300000;43.5300000;43.5000000;43.5000000;1492
20160801;102200;43.5100000;43.5400000;43.5100000;43.5400000;556
20160801;102300;43.5300000;43.5700000;43.5300000;43.5600000;2137
20160801;102400;43.5600000;43.5700000;43.5500000;43.5600000;1406
20160801;102500;43.5600000;43.5900000;43.5600000;43.5800000;3584
20160801;102600;43.5900000;43.5900000;43.5600000;43.5700000;935
20160801;102700;43.5800000;43.5800000;43.5600000;43.5800000;1308
20160801;102800;43.5600000;43.5700000;43.5600000;43.5600000;340
20160801;102900;43.5600000;43.5800000;43.5600000;43.5700000;1221
20160801;103000;43.5800000;43.5900000;43.5600000;43.5700000;511
20160801;103100;43.5800000;43.6000000;43.5700000;43.5800000;2160
20160801;103200;43.5700000;43.6000000;43.5700000;43.5800000;741
20160801;103300;43.5800000;43.6300000;43.5800000;43.5900000;1517
20160801;103400;43.5800000;43.5800000;43.5600000;43.5700000;1089
20160801;103500;43.5700000;43.5800000;43.5500000;43.5600000;678
20160801;103600;43.5600000;43.5800000;43.5500000;43.5600000;339
20160801;103700;43.5600000;43.6000000;43.5400000;43.6000000;3325
20160801;103800;43.5900000;43.6000000;43.5600000;43.5600000;540
20160801;103900;43.5600000;43.5600000;43.5300000;43.5300000;654
20160801;104000;43.5300000;43.5700000;43.5200000;43.5700000;2408
20160801;104100;43.5500000;43.5700000;43.5300000;43.5300000;1817
20160801;104200;43.5300000;43.5400000;43.5100000;43.5300000;591
20160801;104300;43.5100000;43.5200000;43.5000000;43.5000000;733
20160801;104400;43.4900000;43.5100000;43.4900000;43.5000000;1531
20160801;104500;43.5000000;43.5100000;43.4800000;43.4900000;1679
20160801;104600;43.5000000;43.5200000;43.5000000;43.5100000;377
20160801;104700;43.5100000;43.5300000;43.5100000;43.5200000;432
20160801;104800;43.5300000;43.5500000;43.5200000;43.5500000;779
20160801;104900;43.5400000;43.5400000;43.4900000;43.4900000;3920
20160801;105000;43.5000000;43.5000000;43.4200000;43.4300000;5534
20160801;105100;43.4300000;43.4600000;43.4100000;43.4500000;1890
20160801;105200;43.4500000;43.4500000;43.4100000;43.4400000;2018
20160801;105300;43.4500000;43.4600000;43.4300000;43.4600000;1772
20160801;105400;43.4600000;43.4700000;43.4200000;43.4400000;1502
20160801;105500;43.4500000;43.4700000;43.4200000;43.4700000;1440
20160801;105600;43.4500000;43.4600000;43.4300000;43.4400000;894
20160801;105700;43.4300000;43.4400000;43.4200000;43.4200000;875
20160801;105800;43.4200000;43.4400000;43.4200000;43.4400000;426
20160801;105900;43.4500000;43.4600000;43.4400000;43.4400000;1147
20160801;110000;43.4400000;43.4400000;43.4000000;43.4000000;2811
20160801;110100;43.4100000;43.4400000;43.4000000;43.4400000;4487
20160801;110200;43.4300000;43.4600000;43.4200000;43.4600000;1395
20160801;110300;43.4600000;43.4600000;43.4400000;43.4500000;1128
20160801;110400;43.4600000;43.4700000;43.4500000;43.4600000;1046
20160801;110500;43.4600000;43.4700000;43.4200000;43.4200000;2605
20160801;110600;43.4100000;43.4200000;43.4000000;43.4000000;1030
20160801;110700;43.4000000;43.4000000;43.3800000;43.4000000;1128
20160801;110800;43.4000000;43.4200000;43.3900000;43.4000000;669
20160801;110900;43.4100000;43.4100000;43.3800000;43.3800000;252
20160801;111000;43.3900000;43.4000000;43.3700000;43.3700000;4556
20160801;111100;43.3700000;43.3900000;43.3700000;43.3900000;1480
20160801;111200;43.3800000;43.4100000;43.3800000;43.3800000;1145
20160801;111300;43.3800000;43.4200000;43.3800000;43.4100000;513
20160801;111400;43.4100000;43.4100000;43.4000000;43.4100000;279
20160801;111500;43.4100000;43.4100000;43.3700000;43.3800000;2924
20160801;111600;43.3700000;43.3800000;43.3500000;43.3500000;5682
20160801;111700;43.3600000;43.3800000;43.3500000;43.3700000;711
20160801;111800;43.3600000;43.3700000;43.3500000;43.3600000;231
20160801;111900;43.3600000;43.3900000;43.3600000;43.3800000;1317
20160801;112000;43.3900000;43.3900000;43.3400000;43.3500000;1980
20160801;112100;43.3400000;43.3500000;43.3300000;43.3500000;2219
20160801;112200;43.3500000;43.3700000;43.3400000;43.3700000;1698
20160801;112300;43.3600000;43.3600000;43.3300000;43.3400000;515
20160801;112400;43.3300000;43.3300000;43.2700000;43.2900000;3780
20160801;112500;43.2900000;43.3300000;43.2800000;43.3200000;4750
20160801;112600;43.3200000;43.3300000;43.3000000;43.3200000;1953
20160801;112700;43.3100000;43.3200000;43.2900000;43.3100000;1073
20160801;112800;43.3000000;43.3400000;43.3000000;43.3200000;1045
20160801;112900;43.3100000;43.3400000;43.2800000;43.2900000;4167
20160801;113000;43.2800000;43.3500000;43.2800000;43.3500000;4353
20160801;113100;43.3400000;43.3500000;43.3100000;43.3500000;1378
20160801;113200;43.3400000;43.3500000;43.3400000;43.3400000;1238
20160801;113300;43.3500000;43.3600000;43.3400000;43.3500000;418
20160801;113400;43.3500000;43.3500000;43.3100000;43.3200000;2709
20160801;113500;43.3200000;43.3200000;43.2800000;43.2900000;2457
20160801;113600;43.2800000;43.3000000;43.2700000;43.3000000;2309
20160801;113700;43.3000000;43.3000000;43.2800000;43.3000000;931
20160801;113800;43.2900000;43.2900000;43.2800000;43.2800000;541
20160801;113900;43.2800000;43.2800000;43.2700000;43.2700000;617
20160801;114000;43.2600000;43.2600000;43.2200000;43.2500000;6078
20160801;114100;43.2400000;43.2600000;43.2100000;43.2200000;1635
20160801;114200;43.2200000;43.2400000;43.2000000;43.2000000;1489
20160801;114300;43.2000000;43.2500000;43.2000000;43.2400000;2186
20160801;114400;43.2300000;43.2400000;43.2100000;43.2100000;1109
20160801;114500;43.2200000;43.2300000;43.1700000;43.1700000;3612
20160801;114600;43.1800000;43.2000000;43.1600000;43.1700000;3861
20160801;114700;43.1800000;43.2100000;43.1800000;43.2000000;2633
20160801;114800;43.2000000;43.2000000;43.1900000;43.2000000;218
20160801;114900;43.2000000;43.2000000;43.1800000;43.1900000;1637
20160801;115000;43.2000000;43.2000000;43.1700000;43.1700000;1982
20160801;115100;43.1800000;43.1800000;43.1100000;43.1100000;2931
20160801;115200;43.1200000;43.1200000;43.0700000;43.0800000;7219
20160801;115300;43.0800000;43.1000000;43.0700000;43.1000000;5723
20160801;115400;43.1100000;43.1300000;43.1000000;43.1300000;733
20160801;115500;43.1200000;43.1300000;43.0800000;43.1200000;3249
20160801;115600;43.1200000;43.1500000;43.1100000;43.1300000;2664
20160801;115700;43.1300000;43.1400000;43.1100000;43.1300000;2194
20160801;115800;43.1200000;43.1400000;43.1100000;43.1400000;1104
20160801;115900;43.1400000;43.1400000;43.1000000;43.1100000;2034
20160801;120000;43.1100000;43.1600000;43.1000000;43.1600000;2360
20160801;120100;43.1600000;43.1700000;43.1400000;43.1600000;750
