<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20160801;100000;66798.0000000;66798.0000000;66455.0000000;66556.0000000;36143
20160801;100100;66561.0000000;66660.0000000;66556.0000000;66649.0000000;19339
20160801;100200;66653.0000000;66740.0000000;66641.0000000;66661.0000000;18336
20160801;100300;66663.0000000;66664.0000000;66627.0000000;66633.0000000;9301
20160801;100400;66633.0000000;66641.0000000;66580.0000000;66590.0000000;7025
20160801;100500;66589.0000000;66626.0000000;66576.0000000;66621.0000000;15402
20160801;100600;66622.0000000;66652.0000000;66588.0000000;66598.0000000;16267
20160801;100700;66594.0000000;66608.0000000;66590.0000000;66598.0000000;4225
20160801;100800;66598.0000000;66629.0000000;66596.0000000;66629.0000000;3264
20160801;100900;66629.0000000;66671.0000000;66626.0000000;66655.0000000;11445
20160801;101000;66656.0000000;66794.0000000;66648.0000000;66794.0000000;15212
20160801;101100;66792.0000000;66827.0000000;66729.0000000;66738.0000000;14444
20160801;101200;66736.0000000;66803.0000000;66735.0000000;66782.0000000;11326
20160801;101300;66783.0000000;66812.0000000;66780.0000000;66794.0000000;9743
20160801;101400;66795.0000000;66803.0000000;66755.0000000;66779.0000000;11179
20160801;101500;66778.0000000;66794.0000000;66759.0000000;66762.0000000;8074
20160801;101600;66762.0000000;66773.0000000;66755.0000000;66761.0000000;3235
20160801;101700;66761.0000000;66763.0000000;66731.0000000;66742.0000000;4522
20160801;101800;66741.0000000;66757.0000000;66722.0000000;66744.0000000;12849
20160801;101900;66745.0000000;66793.0000000;66744.0000000;66757.0000000;5171
20160801;102000;66758.0000000;66769.0000000;66736.0000000;66747.0000000;2952
20160801;102100;66745.0000000;66840.0000000;66744.0000000;66786.0000000;18003
20160801;102200;66785.0000000;66800.0000000;66768.0000000;66785.0000000;4467
20160801;102300;66784.0000000;66786.0000000;66751.0000000;66776.0000000;9281
20160801;102400;66776.0000000;66789.0000000;66756.0000000;66780.0000000;9405
20160801;102500;66776.0000000;66779.0000000;66750.0000000;66760.0000000;9294
20160801;102600;66761.0000000;66784.0000000;66761.0000000;66773.0000000;1984
20160801;102700;66775.0000000;66778.0000000;66751.0000000;66776.0000000;4244
20160801;102800;66776.0000000;66785.0000000;66768.0000000;66776.0000000;1942
20160801;102900;66778.0000000;66785.0000000;66768.0000000;66776.0000000;1279
20160801;103000;66776.0000000;66800.0000000;66774.0000000;66790.0000000;6989
20160801;103100;66789.0000000;66789.0000000;66757.0000000;66759.0000000;2221
20160801;103200;66760.0000000;66764.0000000;66713.0000000;66715.0000000;7098
20160801;103300;66717.0000000;66750.0000000;66712.0000000;66746.0000000;3006
20160801;103400;66743.0000000;66756.0000000;66740.0000000;66743.0000000;2520
20160801;103500;66742.0000000;66747.0000000;66731.0000000;66741.0000000;2340
20160801;103600;66740.0000000;66760.0000000;66733.0000000;66755.0000000;2220
20160801;103700;66754.0000000;66768.0000000;66750.0000000;66750.0000000;2144
20160801;103800;66752.0000000;66756.0000000;66720.0000000;66723.0000000;4334
20160801;103900;66725.0000000;66731.0000000;66702.0000000;66726.0000000;3663
20160801;104000;66727.0000000;66731.0000000;66714.0000000;66716.0000000;1278
20160801;104100;66717.0000000;66724.0000000;66708.0000000;66717.0000000;2947
20160801;104200;66717.0000000;66736.0000000;66714.0000000;66733.0000000;2147
20160801;104300;66734.0000000;66736.0000000;66728.0000000;66735.0000000;1012
20160801;104400;66734.0000000;66740.0000000;66720.0000000;66720.0000000;2497
