<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20160401;100000;68422.0000000;68422.0000000;68197.0000000;68343.0000000;25072
20160401;100100;68347.0000000;68370.0000000;68288.0000000;68333.0000000;20593
20160401;100200;68329.0000000;68482.0000000;68327.0000000;68477.0000000;20966
20160401;100300;68478.0000000;68500.0000000;68372.0000000;68372.0000000;23187
20160401;100400;68372.0000000;68440.0000000;68363.0000000;68381.0000000;11453
20160401;100500;68377.0000000;68521.0000000;68371.0000000;68492.0000000;14213
20160401;100600;68494.0000000;68546.0000000;68403.0000000;68414.0000000;15752
20160401;100700;68418.0000000;68418.0000000;68328.0000000;68350.0000000;12012
20160401;100800;68352.0000000;68372.0000000;68290.0000000;68351.0000000;16542
20160401;100900;68355.0000000;68436.0000000;68355.0000000;68410.0000000;11577
20160401;101000;68410.0000000;68474.0000000;68396.0000000;68413.0000000;11984
20160401;101100;68413.0000000;68470.0000000;68413.0000000;68428.0000000;3677
20160401;101200;68429.0000000;68437.0000000;68396.0000000;68404.0000000;3241
20160401;101300;68402.0000000;68513.0000000;68399.0000000;68508.0000000;10171
20160401;101400;68508.0000000;68558.0000000;68494.0000000;68558.0000000;13080
20160401;101500;68557.0000000;68672.0000000;68552.0000000;68638.0000000;29330
20160401;101600;68642.0000000;68650.0000000;68525.0000000;68557.0000000;15404
20160401;101700;68559.0000000;68576.0000000;68502.0000000;68510.0000000;8694
20160401;101800;68510.0000000;68543.0000000;68494.0000000;68527.0000000;5666
20160401;101900;68531.0000000;68587.0000000;68510.0000000;68567.0000000;6590
20160401;102000;68569.0000000;68596.0000000;68554.0000000;68565.0000000;10171
20160401;102100;68566.0000000;68583.0000000;68535.0000000;68571.0000000;5720
20160401;102200;68569.0000000;68595.0000000;68536.0000000;68548.0000000;6960
20160401;102300;68548.0000000;68595.0000000;68545.0000000;68572.0000000;5061
20160401;102400;68574.0000000;68605.0000000;68567.0000000;68568.0000000;4838
20160401;102500;68570.0000000;68573.0000000;68519.0000000;68529.0000000;7809
