<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20160301;100000;75420.0000000;75420.0000000;74520.0000000;74623.0000000;63147
20160301;100100;74621.0000000;74731.0000000;74515.0000000;74545.0000000;34042
20160301;100200;74541.0000000;74647.0000000;74483.0000000;74488.0000000;32165
20160301;100300;74483.0000000;74522.0000000;74383.0000000;74492.0000000;21902
20160301;100400;74491.0000000;74573.0000000;74457.0000000;74547.0000000;20079
20160301;100500;74550.0000000;74558.0000000;74413.0000000;74439.0000000;17356
20160301;100600;74438.0000000;74460.0000000;74322.0000000;74344.0000000;21983
20160301;100700;74348.0000000;74359.0000000;74222.0000000;74233.0000000;19084
20160301;100800;74233.0000000;74350.0000000;74175.0000000;74348.0000000;25900
20160301;100900;74349.0000000;74406.0000000;74316.0000000;74399.0000000;10224
20160301;101000;74400.0000000;74438.0000000;74352.0000000;74435.0000000;14772
20160301;101100;74432.0000000;74476.0000000;74428.0000000;74443.0000000;19388
20160301;101200;74440.0000000;74480.0000000;74287.0000000;74305.0000000;20885
20160301;101300;74300.0000000;74330.0000000;74254.0000000;74280.0000000;13171
20160301;101400;74280.0000000;74363.0000000;74254.0000000;74309.0000000;10373
20160301;101500;74312.0000000;74339.0000000;74289.0000000;74319.0000000;9110
20160301;101600;74317.0000000;74326.0000000;74176.0000000;74233.0000000;14685
20160301;101700;74235.0000000;74260.0000000;74134.0000000;74216.0000000;17316
20160301;101800;74213.0000000;74274.0000000;74211.0000000;74246.0000000;8481
20160301;101900;74245.0000000;74312.0000000;74228.0000000;74288.0000000;14026
20160301;102000;74289.0000000;74340.0000000;74279.0000000;74318.0000000;8257
20160301;102100;74313.0000000;74333.0000000;74252.0000000;74260.0000000;11255
20160301;102200;74261.0000000;74302.0000000;74249.0000000;74253.0000000;4817
20160301;102300;74254.0000000;74277.0000000;74230.0000000;74271.0000000;6211
20160301;102400;74272.0000000;74284.0000000;74251.0000000;74255.0000000;6347
20160301;102500;74257.0000000;74265.0000000;74194.0000000;74240.0000000;16149
20160301;102600;74242.0000000;74247.0000000;74194.0000000;74216.0000000;5593
20160301;102700;74218.0000000;74223.0000000;74112.0000000;74165.0000000;14992
20160301;102800;74165.0000000;74224.0000000;74142.0000000;74222.0000000;8748
20160301;102900;74222.0000000;74222.0000000;74153.0000000;74182.0000000;15052
20160301;103000;74180.0000000;74246.0000000;74161.0000000;74200.0000000;15256
20160301;103100;74206.0000000;74265.0000000;74199.0000000;74210.0000000;7857
20160301;103200;74211.0000000;74241.0000000;74118.0000000;74118.0000000;14368
20160301;103300;74119.0000000;74168.0000000;74094.0000000;74155.0000000;11869
20160301;103400;74156.0000000;74218.0000000;74150.0000000;74192.0000000;10092
20160301;103500;74194.0000000;74277.0000000;74192.0000000;74259.0000000;8913
20160301;103600;74262.0000000;74272.0000000;74238.0000000;74258.0000000;6384
20160301;103700;74255.0000000;74280.0000000;74226.0000000;74279.0000000;5081
20160301;103800;74279.0000000;74306.0000000;74219.0000000;74247.0000000;11040
20160301;103900;74253.0000000;74294.0000000;74241.0000000;74290.0000000;3553
20160301;104000;74291.0000000;74318.0000000;74265.0000000;74318.0000000;4892
20160301;104100;74318.0000000;74328.0000000;74292.0000000;74319.0000000;3536
20160301;104200;74321.0000000;74332.0000000;74276.0000000;74278.0000000;5425
20160301;104300;74277.0000000;74305.0000000;74251.0000000;74263.0000000;6439
20160301;104400;74268.0000000;74268.0000000;74221.0000000;74236.0000000;6339
20160301;104500;74238.0000000;74250.0000000;74192.0000000;74207.0000000;3323
20160301;104600;74209.0000000;74232.0000000;74200.0000000;74217.0000000;2309
20160301;104700;74216.0000000;74220.0000000;74151.0000000;74191.0000000;7516
20160301;104800;74188.0000000;74261.0000000;74183.0000000;74249.0000000;4628
20160301;104900;74245.0000000;74252.0000000;74187.0000000;74191.0000000;4326
20160301;105000;74188.0000000;74223.0000000;74185.0000000;74223.0000000;3638
20160301;105100;74217.0000000;74255.0000000;74214.0000000;74241.0000000;4499
20160301;105200;74239.0000000;74253.0000000;74221.0000000;74236.0000000;5362
20160301;105300;74236.0000000;74267.0000000;74230.0000000;74262.0000000;5409
20160301;105400;74259.0000000;74284.0000000;74233.0000000;74248.0000000;5419
20160301;105500;74248.0000000;74276.0000000;74242.0000000;74273.0000000;2965
20160301;105600;74271.0000000;74275.0000000;74250.0000000;74258.0000000;2196
20160301;105700;74259.0000000;74263.0000000;74192.0000000;74218.0000000;6933
20160301;105800;74222.0000000;74235.0000000;74189.0000000;74203.0000000;4158
20160301;105900;74203.0000000;74222.0000000;74182.0000000;74195.0000000;7703
20160301;110000;74195.0000000;74259.0000000;74174.0000000;74255.0000000;13765
20160301;110100;74251.0000000;74256.0000000;74173.0000000;74215.0000000;7572
20160301;110200;74213.0000000;74320.0000000;74210.0000000;74315.0000000;9359
20160301;110300;74320.0000000;74378.0000000;74306.0000000;74354.0000000;20233
20160301;110400;74358.0000000;74375.0000000;74324.0000000;74324.0000000;11051
20160301;110500;74323.0000000;74333.0000000;74296.0000000;74326.0000000;7638
20160301;110600;74327.0000000;74358.0000000;74290.0000000;74296.0000000;8149
20160301;110700;74292.0000000;74358.0000000;74273.0000000;74357.0000000;8220
20160301;110800;74356.0000000;74416.0000000;74344.0000000;74396.0000000;9127
20160301;110900;74394.0000000;74426.0000000;74358.0000000;74378.0000000;8488
20160301;111000;74376.0000000;74425.0000000;74342.0000000;74351.0000000;9554
20160301;111100;74351.0000000;74358.0000000;74300.0000000;74315.0000000;6608
20160301;111200;74312.0000000;74315.0000000;74257.0000000;74300.0000000;10484
20160301;111300;74300.0000000;74334.0000000;74294.0000000;74313.0000000;4628
20160301;111400;74321.0000000;74321.0000000;74256.0000000;74272.0000000;5388
20160301;111500;74273.0000000;74293.0000000;74233.0000000;74263.0000000;5456
20160301;111600;74264.0000000;74286.0000000;74239.0000000;74276.0000000;5652
20160301;111700;74273.0000000;74275.0000000;74201.0000000;74206.0000000;6509
20160301;111800;74204.0000000;74224.0000000;74144.0000000;74165.0000000;9786
20160301;111900;74165.0000000;74188.0000000;74147.0000000;74174.0000000;7224
20160301;112000;74174.0000000;74219.0000000;74165.0000000;74210.0000000;4708
20160301;112100;74209.0000000;74240.0000000;74181.0000000;74236.0000000;6208
20160301;112200;74238.0000000;74266.0000000;74225.0000000;74265.0000000;4604
20160301;112300;74262.0000000;74279.0000000;74230.0000000;74242.0000000;4285
20160301;112400;74240.0000000;74262.0000000;74176.0000000;74181.0000000;6153
20160301;112500;74181.0000000;74227.0000000;74157.0000000;74204.0000000;9014
20160301;112600;74203.0000000;74244.0000000;74198.0000000;74217.0000000;3532
20160301;112700;74217.0000000;74260.0000000;74217.0000000;74248.0000000;4579
20160301;112800;74248.0000000;74270.0000000;74220.0000000;74248.0000000;6463
20160301;112900;74246.0000000;74267.0000000;74194.0000000;74219.0000000;7845
20160301;113000;74218.0000000;74221.0000000;74157.0000000;74174.0000000;8772
20160301;113100;74174.0000000;74180.0000000;74121.0000000;74157.0000000;9377
20160301;113200;74157.0000000;74173.0000000;74131.0000000;74143.0000000;5324
20160301;113300;74143.0000000;74151.0000000;74070.0000000;74105.0000000;20530
20160301;113400;74107.0000000;74150.0000000;74097.0000000;74119.0000000;6488
20160301;113500;74121.0000000;74161.0000000;74087.0000000;74117.0000000;10710
20160301;113600;74119.0000000;74142.0000000;74080.0000000;74109.0000000;9008
20160301;113700;74103.0000000;74128.0000000;74064.0000000;74115.0000000;9433
20160301;113800;74113.0000000;74117.0000000;74066.0000000;74078.0000000;6358
20160301;113900;74080.0000000;74085.0000000;74040.0000000;74084.0000000;9956
20160301;114000;74081.0000000;74100.0000000;74046.0000000;74057.0000000;9746
20160301;114100;74058.0000000;74082.0000000;74013.0000000;74080.0000000;14893
20160301;114200;74081.0000000;74091.0000000;74037.0000000;74070.0000000;7794
20160301;114300;74070.0000000;74099.0000000;74052.0000000;74056.0000000;4677
20160301;114400;74060.0000000;74106.0000000;74052.0000000;74084.0000000;6697
20160301;114500;74085.0000000;74088.0000000;74030.0000000;74075.0000000;6979
20160301;114600;74075.0000000;74090.0000000;74050.0000000;74050.0000000;7633
20160301;114700;74050.0000000;74077.0000000;73977.0000000;74024.0000000;23583
20160301;114800;74025.0000000;74069.0000000;74018.0000000;74055.0000000;3661
20160301;114900;74054.0000000;74072.0000000;74032.0000000;74065.0000000;3530
20160301;115000;74065.0000000;74085.0000000;74041.0000000;74041.0000000;5256
20160301;115100;74045.0000000;74064.0000000;74045.0000000;74058.0000000;972
20160301;115200;74057.0000000;74071.0000000;74039.0000000;74053.0000000;2829
20160301;115300;74051.0000000;74080.0000000;74048.0000000;74057.0000000;2534
20160301;115400;74057.0000000;74078.0000000;74047.0000000;74055.0000000;3421
20160301;115500;74055.0000000;74077.0000000;74046.0000000;74055.0000000;4038
20160301;115600;74056.0000000;74069.0000000;74014.0000000;74038.0000000;6945
20160301;115700;74038.0000000;74062.0000000;74025.0000000;74050.0000000;3594
20160301;115800;74054.0000000;74078.0000000;74040.0000000;74075.0000000;3850
20160301;115900;74072.0000000;74084.0000000;74052.0000000;74065.0000000;3889
20160301;120000;74066.0000000;74085.0000000;74040.0000000;74056.0000000;7239
20160301;120100;74055.0000000;74089.0000000;74042.0000000;74080.0000000;6967
20160301;120200;74082.0000000;74114.0000000;74053.0000000;74086.0000000;12718
20160301;120300;74083.0000000;74151.0000000;74083.0000000;74140.0000000;9803
20160301;120400;74137.0000000;74197.0000000;74132.0000000;74165.0000000;13366
20160301;120500;74167.0000000;74177.0000000;74141.0000000;74147.0000000;4469
20160301;120600;74143.0000000;74160.0000000;74129.0000000;74139.0000000;1457
20160301;120700;74140.0000000;74220.0000000;74139.0000000;74180.0000000;10182
20160301;120800;74180.0000000;74229.0000000;74168.0000000;74220.0000000;5254
20160301;120900;74216.0000000;74270.0000000;74216.0000000;74248.0000000;9560
20160301;121000;74247.0000000;74262.0000000;74237.0000000;74256.0000000;2940
20160301;121100;74260.0000000;74296.0000000;74250.0000000;74283.0000000;6997
20160301;121200;74287.0000000;74300.0000000;74274.0000000;74279.0000000;4242
20160301;121300;74280.0000000;74280.0000000;74213.0000000;74224.0000000;6387
20160301;121400;74224.0000000;74251.0000000;74204.0000000;74211.0000000;4844
20160301;121500;74210.0000000;74228.0000000;74143.0000000;74167.0000000;8733
20160301;121600;74171.0000000;74201.0000000;74162.0000000;74176.0000000;3321
20160301;121700;74175.0000000;74210.0000000;74173.0000000;74199.0000000;9816
20160301;121800;74199.0000000;74214.0000000;74172.0000000;74195.0000000;4813
20160301;121900;74190.0000000;74219.0000000;74167.0000000;74191.0000000;4657
20160301;122000;74189.0000000;74216.0000000;74179.0000000;74205.0000000;4939
20160301;122100;74207.0000000;74213.0000000;74185.0000000;74193.0000000;2818
20160301;122200;74193.0000000;74246.0000000;74192.0000000;74241.0000000;6830
20160301;122300;74240.0000000;74251.0000000;74222.0000000;74233.0000000;2423
20160301;122400;74232.0000000;74252.0000000;74210.0000000;74235.0000000;4896
20160301;122500;74234.0000000;74244.0000000;74205.0000000;74211.0000000;2814
20160301;122600;74209.0000000;74224.0000000;74156.0000000;74173.0000000;3149
20160301;122700;74172.0000000;74204.0000000;74158.0000000;74188.0000000;6006
20160301;122800;74185.0000000;74210.0000000;74143.0000000;74179.0000000;4864
20160301;122900;74177.0000000;74182.0000000;74156.0000000;74177.0000000;1690
20160301;123000;74176.0000000;74199.0000000;74149.0000000;74179.0000000;4292
20160301;123100;74173.0000000;74173.0000000;74102.0000000;74126.0000000;6790
