<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20150407;100000;56910.0000000;57039.0000000;56767.0000000;56905.0000000;4783
20150407;100500;56907.0000000;56980.0000000;56710.0000000;56724.0000000;3010
20150407;101000;56728.0000000;56743.0000000;56627.0000000;56701.0000000;3529
20150407;101500;56701.0000000;56757.0000000;56633.0000000;56680.0000000;1901
20150407;102000;56672.0000000;56687.0000000;56493.0000000;56585.0000000;4685
20150407;102500;56580.0000000;56663.0000000;56535.0000000;56610.0000000;3424
20150407;103000;56610.0000000;56695.0000000;56591.0000000;56672.0000000;2549
20150407;103500;56668.0000000;56688.0000000;56600.0000000;56613.0000000;835
20150407;104000;56613.0000000;56615.0000000;56452.0000000;56525.0000000;3844
20150407;104500;56524.0000000;56596.0000000;56500.0000000;56581.0000000;1196
20150407;105000;56577.0000000;56643.0000000;56544.0000000;56639.0000000;1642
20150407;105500;56642.0000000;56723.0000000;56619.0000000;56671.0000000;3210
20150407;110000;56667.0000000;56781.0000000;56667.0000000;56739.0000000;4551
20150407;110500;56740.0000000;56862.0000000;56738.0000000;56784.0000000;1758
20150407;111000;56788.0000000;56794.0000000;56707.0000000;56729.0000000;1436
20150407;111500;56720.0000000;56747.0000000;56690.0000000;56741.0000000;1486
20150407;112000;56733.0000000;56877.0000000;56718.0000000;56854.0000000;2888
20150407;112500;56861.0000000;56870.0000000;56795.0000000;56838.0000000;4876
20150407;113000;56848.0000000;56900.0000000;56826.0000000;56862.0000000;1790
20150407;113500;56856.0000000;56946.0000000;56855.0000000;56912.0000000;2833
20150407;114000;56910.0000000;57200.0000000;56910.0000000;57088.0000000;7252
20150407;114500;57084.0000000;57096.0000000;56987.0000000;57007.0000000;2803
20150407;115000;57018.0000000;57038.0000000;56914.0000000;56957.0000000;2062
20150407;115500;56952.0000000;57025.0000000;56928.0000000;57016.0000000;2484
20150407;120000;57021.0000000;57056.0000000;56977.0000000;57001.0000000;2114
